eval_name,model,inproject_em,infile_em
rq_b_pd_1k_file_level_2,ocoder1p5_theta_500k,0.24470134874759153,0.29357116313638054
rq_b_pd_2k_file_level_2,ocoder1p5_theta_500k,0.3001926782273603,0.33147528799702713
rq_b_pd_4k_file_level_2,ocoder1p5_theta_500k,0.36570327552986515,0.3864734299516908
rq_b_pd_8k_file_level_2,ocoder1p5_theta_500k,0.423121387283237,0.44184318097361575
rq_b_pd_16k_file_level_2,ocoder1p5_theta_500k,0.4485549132947977,0.4466740988480119
rq_b_pd_32k_file_level_2,ocoder1p5_theta_500k,0.4235067437379576,0.4188034188034188
rq_b_pd_64k_file_level_2,ocoder1p5_theta_500k,0.17341040462427745,0.11891490152359717
rq_b_pd_128k_file_level_2,ocoder1p5_theta_500k,0.015414258188824663,0.011519881085098476
rq_b_pd_1k_filled_python_files_2,ocoder1p5_theta_500k,0.24971098265895952,0.2917131178000743
rq_b_pd_2k_filled_python_files_2,ocoder1p5_theta_500k,0.3001926782273603,0.3296172426607209
rq_b_pd_4k_filled_python_files_2,ocoder1p5_theta_500k,0.3764932562620424,0.39018952062430323
rq_b_pd_8k_filled_python_files_2,ocoder1p5_theta_500k,0.4435452793834297,0.4522482348569305
rq_b_pd_16k_filled_python_files_2,ocoder1p5_theta_500k,0.48709055876685936,0.4923820141211446
rq_b_pd_32k_filled_python_files_2,ocoder1p5_theta_500k,0.4959537572254335,0.5031586770717206
rq_b_pd_64k_filled_python_files_2,ocoder1p5_theta_500k,0.4597302504816956,0.45484949832775917
rq_b_pd_128k_filled_python_files_2,ocoder1p5_theta_500k,0.06551059730250482,0.06614641397250093
rq_b_pd_1k_qwen,qwen1p5,0.25741811175337187,0.3140096618357488
rq_b_pd_2k_qwen,qwen1p5,0.3094412331406551,0.3500557413600892
rq_b_pd_4k_qwen,qwen1p5,0.3853564547206166,0.41025641025641024
rq_b_pd_8k_qwen,qwen1p5,0.44315992292870904,0.47640282422891117
rq_b_pd_16k_qwen,qwen1p5,0.49210019267822736,0.5183946488294314
rq_b_pd_32k_qwen,qwen1p5,0.5094412331406551,0.5239687848383501
rq_b_pd_64k_qwen,qwen1p5,0.5009633911368016,0.5083612040133779
rq_b_pd_128k_qwen,qwen1p5,0.4655105973025048,0.46413972500929024
rq_b_pd_1k_dseek,dseek1p3,0.2277456647398844,0.2709030100334448
rq_b_pd_2k_dseek,dseek1p3,0.2589595375722543,0.2995169082125604
rq_b_pd_4k_dseek,dseek1p3,0.34296724470134876,0.34299516908212563
rq_b_pd_8k_dseek,dseek1p3,0.3884393063583815,0.39316239316239315
rq_b_pd_16k_dseek,dseek1p3,0.42620423892100195,0.4459308807134894
rq_b_pd_32k_dseek,dseek1p3,0.40809248554913297,0.4028242289111854
rq_b_pd_64k_dseek,dseek1p3,0.19383429672447014,0.18766257896692679
rq_b_pd_128k_dseek,dseek1p3,0.002697495183044316,0.0014864362690449647
