iter_num,completion_cross_entropy,context_cross_entropy,cross_entropy,detached_cross_entropy,full_cross_entropy,inproject_cross_entropy,infile_cross_entropy,commited_cross_entropy,common_cross_entropy,non_informative_cross_entropy,random_cross_entropy,completion_exact_match,inproject_top_1_accuracy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
1,4.6775214103705425,3.5234874864187846,4.6775214103705425,3.5234874864187846,3.7650146484375018,4.579039391755335,5.067617866004967,5.261488970588238,5.414970540974826,4.905106576542007,4.416247669712139,0.00151608471123324,0.2572965582833026,0.3922903168281519,0.45699340189026927,0.5318314212685015,0.005220654213231096,7e-07
2,4.5044798170555875,3.373769796821907,4.5044798170555875,3.373769796821907,3.6254272460937518,4.457329368199457,4.935884437537904,4.583300159235667,4.810248080330774,4.472174580566138,4.520014724539155,0.0029351472232575474,0.25956831612854137,0.4062444517716286,0.46731934968422656,0.5478225581454333,0.010441308426462192,1.4e-06
3,4.653958725487862,3.329966016756351,4.653958725487862,3.329966016756351,3.594116210937503,4.179372605889815,4.842270510684186,5.542452505506611,5.1007832228535355,5.010963002868925,4.463108384969018,0.0027531037348709157,0.2926853071780608,0.44173620260576785,0.5060508466305568,0.5880300590445517,0.015661962639693286,2.1e-06
4,4.711649116527622,3.3274240477629955,4.711649116527622,3.3274240477629955,3.664428710937502,4.320602664277621,4.723455583277423,4.783185664112386,5.002072549336785,4.924732611958971,4.6694223295663475,0.0021944922547332186,0.2676222846165214,0.4097581399931038,0.4743608689227132,0.5639623663858924,0.020882616852924384,2.8e-06
5,4.4175395481071735,3.4561827501599693,4.4175395481071735,3.4561827501599693,3.6550292968750004,4.284687441490364,4.719971653088518,4.985488339679087,5.353284639608118,4.3901522821477865,4.432018502331001,0.0017472916978683042,0.2770214245593388,0.42252654666060396,0.4871746863883168,0.5685131195335277,0.026103271066155478,3.4999999999999995e-06
6,4.256737178057036,3.2748813468808065,4.256737178057036,3.2748813468808065,3.4941406250000027,4.036420818791615,4.6176013955206905,4.1277717391304325,4.9616349480968855,4.691951221253088,4.007415756440955,0.0018128906063642001,0.3007351303185565,0.45446894878839633,0.5226850820524245,0.6059503477636692,0.03132392527938657,4.2e-06
7,4.331109724345776,3.2671747349948954,4.331109724345776,3.2671747349948954,3.4855957031250018,4.105278519899088,4.001902630150477,4.422769502457002,4.597656250000003,4.4673808532655555,4.33106606264531,0.0035415641908509593,0.2970406485628437,0.4458302624865355,0.5072566472022223,0.5872214978173366,0.03654457949261767,4.9e-06
8,4.288877279174312,3.152834379258735,4.288877279174312,3.152834379258735,3.400878906250002,4.04153188218271,4.399853655622809,4.429901528512642,4.9353586219879535,4.75510232416072,4.013611003988351,0.003128594432942259,0.31357653671703256,0.46603778835183796,0.5284247433007764,0.6052258118373821,0.04176523370584877,5.6e-06
9,3.9835450002085047,3.0941704527360048,3.9835450002085047,3.0941704527360048,3.2672119140625018,3.7501121173062595,4.130645523176011,4.577359759221311,4.615183738425924,4.065182598086964,3.93891796967564,0.007753840113853855,0.34057085149356864,0.504916551504199,0.5668119485489529,0.6413309237801637,0.04698588791907986,6.299999999999999e-06
10,3.823994339662867,2.877514696002166,3.823994339662867,2.877514696002166,3.100585937500002,3.3213053664768317,3.612158934412119,3.029688991044559,4.208702216228892,4.331509214197917,3.671967220439582,0.009422850412249705,0.400842565142768,0.55947365683674,0.6197534716804494,0.6945181255526083,0.052206542132310955,6.999999999999999e-06
11,3.8875092564408953,2.9127198245553143,3.8875092564408953,2.9127198245553143,3.1184082031250018,3.693566307117599,3.9888397602848924,3.8056411442746896,3.8955834133077403,4.181033627884962,3.718471252511755,0.0052599445827267175,0.3534530578283179,0.5128622937179309,0.5756829843294966,0.6516433227014283,0.05742719634554205,7.699999999999999e-06
12,3.3577816227414092,2.6573101334333478,3.3577816227414092,2.6573101334333478,2.8090209960937513,3.297460943296827,3.5564850078587837,2.320168743624452,3.817128463476071,3.599722537224715,3.2953838018416324,0.011333697867475269,0.4186329504644882,0.5767666874424955,0.6358590805211765,0.7022823731932449,0.06264785055877314,8.4e-06
13,3.2768445547148675,2.676671823336734,3.2768445547148675,2.676671823336734,2.8133544921875018,2.9183588156433564,3.1808044653584306,2.786925622087837,3.371069182389937,3.7218582787659225,3.128193767772385,0.013255497520080761,0.4601244922411526,0.6220520763318624,0.679973114351676,0.7463689762997165,0.06786850477200425,9.1e-06
14,2.7179959116265096,2.269815549929755,2.7179959116265096,2.269815549929755,2.366455078125002,2.5089228849809895,2.454431611193905,2.582707434816703,3.0969709880091996,2.9989652042108084,2.6616248904005344,0.03160683292226181,0.5044613434727503,0.6779974651457541,0.7362230671736375,0.801723700887199,0.07308915898523534,9.8e-06
15,2.6983080382568154,2.335968204169403,2.6983080382568154,2.335968204169403,2.418090820312503,2.3715675674686816,2.3238212931851456,2.4300312850673293,2.7238834269662915,2.9942359185801304,2.621715663364756,0.029701657458563537,0.5258166491043204,0.6921613394216134,0.7505854115443157,0.8149514108418218,0.07830981319846643,1.05e-05
16,2.3147154371513268,2.1861359908919806,2.3147154371513268,2.1861359908919806,2.2122802734375018,1.8930678448209028,2.1934104425632244,2.231185350199403,2.9152446232458815,2.738487118136983,2.2593974607459706,0.04911769141822935,0.6153113439514432,0.7668741554615334,0.8120638858737789,0.8606649978955763,0.08353046741169753,1.12e-05
17,2.278313566604414,2.0101512557727927,2.278313566604414,2.0101512557727927,2.068176269531252,1.978965148102978,2.25588098329194,1.9207906125017844,2.608374849033817,2.6620955074755885,2.171466929457147,0.05132616487455197,0.6000319883014212,0.7530503130283782,0.7987707352739569,0.8501805054151624,0.08875112162492862,1.1899999999999998e-05
18,2.2855673507678422,1.9556761351343919,2.2855673507678422,1.9556761351343919,2.0223388671875018,1.9019357045807437,2.23958676438296,2.3486691630071093,2.3810457598235764,2.6148786650159352,2.1889442290613474,0.06224422775728793,0.6012422360248447,0.7597018633540372,0.809888198757764,0.8617142857142858,0.09397177583815972,1.2599999999999998e-05
