iter_num,completion_cross_entropy,context_cross_entropy,cross_entropy,detached_cross_entropy,full_cross_entropy,inproject_cross_entropy,infile_cross_entropy,commited_cross_entropy,common_cross_entropy,non_informative_cross_entropy,random_cross_entropy,completion_exact_match,inproject_top_1_accuracy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
1,2.6796723478052535,2.432783988280193,2.6796723478052535,2.432783988280193,2.485679610835845,2.3967250471824273,2.504805411618742,2.3878159993928754,2.9669255490091073,3.159160567888295,2.3746863645969802,0.0537846687211094,0.5450573619449564,0.6904238245259466,0.7389882898412887,0.7971527076026867,0.005220654213231096,7e-07
2,2.6044369411406523,2.5440082981519336,2.6044369411406523,2.5440082981519336,2.5582902733527266,2.3860449374793924,2.455684553138266,1.8780372959792995,2.663924062315417,2.9336254867174594,2.417415034570349,0.0814681335356601,0.5505364344231111,0.6939660638648641,0.7436528267430949,0.7988434321657747,0.010441308426462192,1.4e-06
3,2.7587209830470085,2.3723622794591055,2.7587209830470085,2.3723622794591055,2.4513698538525257,2.1609626419692076,2.3263428356572247,3.186705198582048,2.9320499921085856,3.2983443933265275,2.5449855086947824,0.053604145945662984,0.5809300736836969,0.7283462645781487,0.7762650661201386,0.8293563655882497,0.015661962639693286,2.1e-06
4,2.6894271490021286,2.3518116369176183,2.6894271490021286,2.3518116369176183,2.4367189522045605,2.202876205297769,2.2446225181356927,2.2204761334610454,2.656138790035589,3.232651305734736,2.455225563991511,0.060255629945222156,0.576991281217674,0.7154819959607901,0.7638539973400326,0.8206245997734102,0.020882616852924384,2.8e-06
5,2.634123297514152,2.5096384341152262,2.634123297514152,2.5096384341152262,2.5344418712789563,2.319937411399685,2.4852660657830725,2.679978583084037,2.7715622813156062,2.9962957717435312,2.3990410494111147,0.06769355492501013,0.560970390777543,0.7024099285848022,0.7513039291732421,0.807259207746008,0.026103271066155478,3.4999999999999995e-06
6,2.4329923024365345,2.3641452231066964,2.4329923024365345,2.3641452231066964,2.379731463845066,2.0502653767078787,2.224174607065712,1.7588007893374744,2.9630352508650524,3.0215334185093705,2.254450986451616,0.054481291694866096,0.599143585554813,0.7455508527016658,0.7892873938763892,0.8409445310759635,0.03132392527938657,4.2e-06
7,2.6252430631291235,2.1883407915430304,2.6252430631291235,2.1883407915430304,2.279327706596862,2.248699133566977,2.0914619578244853,2.48436978217972,2.875524819302721,3.020918650231893,2.4948636165504294,0.04760250173731758,0.5583970546587369,0.7096856414613424,0.761767204757859,0.8183800623052959,0.03654457949261767,4.9e-06
8,2.458534040926978,2.518855357006084,2.458534040926978,2.518855357006084,2.505151770206461,2.1379794197136675,2.2109117818838278,1.945675338036449,2.8555040474397595,3.136500729771194,2.1257965757786415,0.0672938108322079,0.5896708128113087,0.7318919219745667,0.7756629657456103,0.82683585162924,0.04176523370584877,5.6e-06
9,2.3899585471542593,2.3128149553892445,2.3899585471542593,2.3128149553892445,2.3276099992704875,2.126107781273254,1.9956136660595496,2.599650998975409,2.4478804976851847,2.6788685866840702,2.2340315880214936,0.07556889222305577,0.578239608801956,0.7266131604124588,0.7751940044647603,0.8294621026894865,0.04698588791907986,6.299999999999999e-06
10,2.1566523405545617,2.173029773092635,2.1566523405545617,2.173029773092635,2.1686917997491655,1.6778561186244711,1.716389646177907,1.2930094669859793,2.165660178236397,2.6894406621509535,1.995833629055819,0.09147636749867233,0.6504274170499129,0.7893054797723906,0.8338140151219893,0.8789981032556448,0.052206542132310955,6.999999999999999e-06
