iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.06262825872159307,0.16593378380592896,0.15911003227994308,2.7107952042047843,1.6634849466591928,1.7345460467276896,0.5014692684056629,0.6454648099360181,0.6976636461017341,0.759756521235633,0.6591810882218726,0.7954838866060542,0.8360131904404086,0.8786044227390715,0.6484781683990684,0.7853030253912026,0.8266242677692738,0.8705389552149366,0.0005023685894039475,138164,1897738,2035902,1.953125e-07
2,0.07565210739692496,0.14288345429743932,0.1382705204293703,2.3675744473005254,1.7225652525983346,1.7698438866277786,0.562332000947062,0.6987158953217921,0.7447667859779111,0.7981434798958231,0.6459410585777765,0.7867429387529206,0.8288312227024986,0.8735646032382628,0.6398194059567481,0.7802978119160457,0.8226762283275676,0.86804245132705,0.001004737178807895,281766,3715441,3997207,3.90625e-07
3,0.08656600851722802,0.16056507576830478,0.15543143086022804,2.339426786962889,1.6213120694350887,1.672729208428056,0.5634804254679934,0.7020508015078791,0.7486748832252019,0.8015150322963683,0.6638117733740482,0.8006321208033482,0.8412616826810922,0.8833703476774717,0.6566301086500159,0.7935757222000348,0.8346343686317881,0.8775111875723224,0.0015071057682118426,421565,5528702,5950267,5.859375000000001e-07
4,0.05980643560261395,0.15458931655068356,0.14854403332832264,2.485163065276246,1.6437770309865114,1.6995894530149336,0.5382609969995912,0.6797892772022923,0.7288293777815487,0.7847727325316817,0.6596747738161808,0.7979038589124409,0.8389420847598723,0.8814663439245218,0.6516104408412101,0.7900586592894285,0.8316283716283717,0.8750439304285458,0.00200947435761579,551214,7351003,7902217,7.8125e-07
5,0.06618541649768837,0.1436740368659461,0.13875158727660067,2.5379286580018356,1.679696222335778,1.7353537262777388,0.5315449389146628,0.6748923698377385,0.7232822833539608,0.7801383436724094,0.654559571169817,0.7934864703591009,0.8344868556593418,0.8775458753054257,0.646553990350501,0.7857685701466399,0.8272498532414371,0.87120676057897,0.0025118429470197376,682915,9243034,9925949,9.765625e-07
6,0.11966939852757327,0.18342183369660994,0.1786310875058894,2.256304391478907,1.5735595932831226,1.6253099317344533,0.5794669692084154,0.7141842983486263,0.7585305494184696,0.8093854288993717,0.6744197655730286,0.8066682872462916,0.8456956790210541,0.886355768594252,0.667241314450377,0.7996764784808031,0.8391059771227651,0.8805367949299915,0.003014211536423685,833638,11085996,11919634,1.1718750000000001e-06
7,0.08438496741090001,0.17582424008514322,0.16882170726705595,2.4249641393269683,1.5619072068810147,1.6292539469116842,0.546890717724023,0.6903882636493137,0.739598031339243,0.795451016398755,0.6774487427782965,0.8101179815546862,0.8482234990519794,0.8878963429615183,0.6673695907334941,0.8008747808357117,0.8398375526150652,0.8807595124076696,0.0035165801258276327,981759,12856527,13838286,1.3671875e-06
8,0.09666132089225835,0.1386400710557939,0.1356348061898715,2.2341483003028055,1.7102094724432875,1.7492161867842997,0.579437230947414,0.715671157562776,0.7609592051741821,0.8122824031759542,0.6469803622792344,0.7871904864435133,0.8294074454400406,0.8742175552500676,0.6420276501468047,0.7819462130308594,0.8243883646938025,0.8696760574981441,0.00401894871523158,1125086,14667837,15792923,1.5625e-06
9,0.11045812742086283,0.16781487779822052,0.16333771493913843,2.0315004103704006,1.5848345292489021,1.6226096814245068,0.6105006253263232,0.7427237514722489,0.7859987614896123,0.8336207001226368,0.6710026512465703,0.806475515605801,0.8460311675614257,0.886815002884662,0.6659726491481502,0.801175337595358,0.8410402085989528,0.8823925484222332,0.004521317304635527,1289800,16484341,17774141,1.7578125000000002e-06
10,0.06353816828537714,0.12141472596005282,0.11812045003309067,2.439755195588285,1.7368299177374267,1.7794070661717203,0.5472958449761082,0.6872819563168598,0.7341313801028422,0.7885203617665052,0.6436158211286381,0.7848975888615245,0.827190328476938,0.8715084095468704,0.6378036461230323,0.779007230887037,0.8215749315946612,0.8665007146081877,0.005023685894039475,1410762,18367974,19778736,1.953125e-06
11,0.10817759939796814,0.15899711614956244,0.15452302538507678,1.9972235776307112,1.5687096171087913,1.6070473844793798,0.6173915060960755,0.7492372655244017,0.7919097943227034,0.8391297286637356,0.673426457429217,0.8086425528178007,0.8477043936535414,0.8881948362560647,0.6683808010679653,0.8032934152064926,0.842680379741877,0.8837767781271855,0.005526054483443422,1583168,20110237,21693405,2.1484375e-06
12,0.06750136091453457,0.14175053266240537,0.13613308138043667,2.492196112830732,1.6761633857142206,1.7376336096580118,0.5355456111053126,0.6813028389520926,0.731584646696587,0.7886833315937793,0.6530476674848662,0.7942129445053844,0.836067190055751,0.8793286813051827,0.6440835192922877,0.7855991129708112,0.8280962912385961,0.8724134121361359,0.00602842307284737,1736464,21966345,23702809,2.3437500000000002e-06
13,0.08591674047829938,0.1500935870714037,0.14544022146479704,2.180304685940826,1.6028434540794407,1.6459217107412725,0.5819451836083023,0.7223390101117616,0.7680149015433742,0.8187732836615221,0.6648649121282617,0.8032152875347768,0.8436506596323371,0.8854855747607907,0.6585703586955479,0.7970758553542238,0.8379090426587578,0.8804213507403029,0.006530791662251317,1886784,23796228,25683012,2.5390625000000003e-06
14,0.10083910981393653,0.1790474164712204,0.17358983295964708,2.2177671284144456,1.5157036906988768,1.5667424806226458,0.5777955151688804,0.7180232359823445,0.7644201578627808,0.8172434729811779,0.6827927714393701,0.8156687144598972,0.8540808525994589,0.893393571338582,0.6751728744011221,0.8085823531712495,0.8475739657860432,0.8878671801780259,0.007033160251655265,2033367,25669464,27702831,2.734375e-06
15,0.09858149701133018,0.17711495692045578,0.1725020430986279,2.081872428636476,1.5294713999583462,1.5639933788403282,0.6026369446257747,0.7354029157902372,0.7800826865888155,0.8286388949332302,0.6800747475635232,0.8140565933588922,0.8528446196009247,0.8924552548909065,0.6752464829603783,0.8091525186963249,0.8483078965497661,0.8884762903516763,0.007535528841059212,2157450,27535478,29692928,2.9296875e-06
16,0.08041958041958042,0.15641245795205946,0.15072961746732488,2.315721635160662,1.5741323617665464,1.6297814180390782,0.5617559024468813,0.701092573453418,0.7498557105083017,0.8046924284928124,0.6706789628178971,0.8064371399658755,0.8463505079912975,0.8876731738894548,0.6624865480404053,0.7985138739422671,0.8390928583975561,0.8814319547893015,0.00803789743046316,2306456,29367596,31674052,3.125e-06
17,0.08471785660829217,0.1773903230356891,0.17100613773948473,2.351777162127929,1.5194133964608219,1.5768974671265281,0.5593299509895512,0.6999223881455079,0.7461230004168043,0.7989709242996967,0.6785476890590623,0.8143833011173397,0.8537023714297517,0.8941931275050551,0.6702658582671662,0.8064319179685843,0.8462290359860918,0.8875782211383656,0.008540266019867107,2445610,31231577,33677187,3.3203125000000002e-06
18,0.10436734989498081,0.17295944316499895,0.16805533471140086,2.189733039736081,1.5269311438619941,1.5749835348545773,0.5787637194154842,0.7224959643594786,0.768900543489754,0.819767236943205,0.6775445070563008,0.8145010167500568,0.8539276472902364,0.8939892617895909,0.6703458436652864,0.8077961359908478,0.8477312854875937,0.8885803215915086,0.009042634609271055,2587471,33036347,35623818,3.5156250000000003e-06
