iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.41237735849056606,0.43559004315794064,0.4336477486799862,0.6050608263891989,0.4676007724394701,0.47951265519109526,0.8495667322790108,0.9288332315210751,0.9477759677820765,0.9683590126473449,0.88306737574439,0.9515867938816661,0.9647171304691253,0.9765268979773541,0.8801753355413854,0.9496225266228474,0.9632546354687764,0.9758217815884009,0.0005023685894039475,176796,1871163,2047959,1.953125e-07
2,0.43599403500510164,0.40469853463789374,0.40756003782780065,0.5257069294362793,0.5064207135771619,0.5081716714512322,0.8700444820540799,0.9404419255885939,0.9560301297717998,0.9714290486184954,0.8737357943796267,0.9462467782788108,0.9607779093422124,0.9739246462227406,0.8734003811211964,0.9457193169361174,0.9603464995682414,0.9736978822834289,0.001004737178807895,356419,3668339,4024758,3.90625e-07
3,0.448068669527897,0.42438911048290284,0.42654546480303523,0.5323104441679054,0.47530050541752455,0.48019442462832646,0.869304771966104,0.9404009979995055,0.9560958888714064,0.9708186293241026,0.8810189075630253,0.9504151923927465,0.9640302963290579,0.9763826846528085,0.879969659082444,0.9495182095838643,0.9633196024071401,0.9758843058734943,0.0015071057682118426,534375,5477139,6011514,5.859375000000001e-07
4,0.43671360719940006,0.43069084825672027,0.43125863103126005,0.5735175867288704,0.47608794146328226,0.4843157266564599,0.8613020814780513,0.9307757156936083,0.9465560028022181,0.963458364502072,0.8815264478042928,0.9500794595524976,0.9633472273824358,0.9756736237176599,0.8797916780185885,0.9484236572862024,0.9619069395337657,0.9746258449012599,0.00200947435761579,702813,7272392,7975205,7.8125e-07
5,0.4371296371458722,0.4150111528046133,0.4169367742994297,0.5489483366935486,0.4829235601966037,0.4886747272437274,0.8652316715542522,0.9378299120234604,0.953882697947214,0.9695777126099707,0.8802801221198847,0.9499531131578609,0.9632168441515623,0.9750359679884902,0.8790216732358002,0.9489392925739689,0.9624362624017327,0.9745795133282454,0.0025118429470197376,873313,9140720,10014033,9.765625e-07
6,0.5069572965933238,0.44892014449312123,0.45484917445407447,0.47179391536032445,0.46055924848957097,0.4617531526299804,0.8851226892128399,0.9477760826194108,0.9614354306240848,0.974788629626039,0.8859901373025926,0.9520969704743859,0.9650045089302252,0.9767105874989563,0.8859053304972124,0.9516745351728211,0.9646555749330545,0.9765226856415393,0.003014211536423685,1069296,10949353,12018649,1.1718750000000001e-06
7,0.45257150810773195,0.4430521196988263,0.4440972222222222,0.5305453682716221,0.4590169042479805,0.4660178988391365,0.8690954549513349,0.9404253531040061,0.9557996249665148,0.9712474328065006,0.8867743784783048,0.9531173246501322,0.9655597256904752,0.9765307390104662,0.8850440754086106,0.9518751134208553,0.9646044677406669,0.9760136418620504,0.0035165801258276327,1259679,12704159,13963838,1.3671875e-06
8,0.4557324139954522,0.4049500751763753,0.4098393854748603,0.5089255794947255,0.499663795991762,0.5007800221931639,0.8763517816032524,0.9434415121449448,0.958430164526856,0.9718023936126788,0.8758328262151103,0.9472863903278232,0.9612962893501814,0.9741904349758739,0.8758812290098966,0.9469277798308203,0.9610289668503575,0.9739677031598355,0.00401894871523158,1443418,14490396,15933814,1.5625e-06
9,0.49032393773664285,0.4401405195525562,0.4451847323153024,0.4590292102583384,0.46251745217028917,0.4620873886040885,0.8865313561263208,0.9494029538596369,0.9630468773341566,0.9760285227714095,0.8854981705953942,0.9524494175062007,0.965210929263951,0.9764516073283223,0.8856021959565321,0.9521426870385922,0.9649930436308487,0.9764090094381008,0.004521317304635527,1644240,16284149,17928389,1.7578125000000002e-06
10,0.43862180932623795,0.3934423809383212,0.39689281933963877,0.5804040920297191,0.5009096237727961,0.5071729264720762,0.8572187765312802,0.9317753193475007,0.9487618195840544,0.9651391130208232,0.874706464748253,0.9480145395791045,0.962153387964507,0.9748228903798446,0.8733745335360436,0.9467776966059194,0.9611334333721642,0.9740853357553261,0.005023685894039475,1798539,18155730,19954269,1.953125e-06
