iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.9973906855380723,0.9301599994288284,0.9356739327050373,0.004736620663528506,0.08350214025918642,0.07686710357666021,0.9998076879567411,0.9998076879567411,0.9998076879567411,0.9998076879567411,0.9811404760367348,0.9904215676676617,0.9927659246514708,0.9952435902509743,0.9827141761779785,0.9912128448486328,0.9933595657348633,0.9956283569335938,0.0005023685894039475,176796,1920356,2097152,1.953125e-07
2,0.9985271254398167,0.9321547601796841,0.9375004163530141,0.002275785630597519,0.08138539082512403,0.07464027404785163,0.9998997722603026,0.9998997722603026,0.9998997722603026,0.9998997722603026,0.981742953679179,0.9905718775048095,0.9928070084863011,0.9950317095518735,0.9832978248596191,0.991370677947998,0.9934144020080566,0.9954485893249512,0.001004737178807895,356387,3837917,4194304,3.90625e-07
3,0.9984582927620902,0.9300848079349708,0.9356987017184722,0.0023034107383910736,0.08046672340724405,0.07379722595214844,0.999893232034885,0.9998988514014701,0.9998988514014701,0.9998988514014701,0.9822076536216208,0.9910868926362915,0.9932247670378638,0.9951714155302533,0.983708381652832,0.9918346405029297,0.9937911033630371,0.995572566986084,0.0015071057682118426,534343,5757113,6291456,5.859375000000001e-07
4,0.9980920995577139,0.9377889598520526,0.9423438825275657,0.0032426802273988085,0.07741450650790258,0.07144165039062506,0.9998575143376198,0.9998634512402189,0.9998634512402189,0.9998634512402189,0.9829912573870465,0.9909229673243415,0.9928864518015631,0.9948986734165874,0.9843459129333496,0.9916410446166992,0.9934468269348145,0.9952974319458008,0.00200947435761579,702781,7685827,8388608,7.8125e-07
5,0.9993239817475071,0.9346918102340876,0.9398054577286278,0.0013010411064149387,0.07539233009544963,0.0693717002868653,0.9999354770591616,0.9999413427810561,0.9999413427810561,0.9999413427810561,0.9830048736939901,0.9914837517582149,0.9935090077698827,0.9953795927688707,0.9843811988830566,0.9921712875366211,0.9940319061279297,0.9957504272460938,0.0025118429470197376,873263,9612497,10485760,9.765625e-07
6,0.996361301369863,0.9258822937842556,0.93227258179348,0.006413616003600174,0.08676821563366896,0.07927799224853523,0.9997142609307951,0.9997193634141737,0.9997193634141737,0.9997193634141737,0.9820694530575662,0.9909750264179565,0.9930232399118648,0.9949294355209873,0.9837183952331543,0.9917922019958496,0.9936490058898926,0.9953770637512207,0.003014211536423685,1069246,11513666,12582912,1.1718750000000001e-06
7,0.9989143022582513,0.9293584018143383,0.9354391568189077,0.001729512572445677,0.08181850016248861,0.07454776763916017,0.9999212114527032,0.999926464022523,0.999926464022523,0.999926464022523,0.9816710886321312,0.9909380737782081,0.9931276415758804,0.9951058570807476,0.9833278656005859,0.9917540550231934,0.9937448501586914,0.9955434799194336,0.0035165801258276327,1259629,13420435,14680064,1.3671875e-06
8,0.9982338938800583,0.9293095011944852,0.9351603705874219,0.0031109451303507124,0.07902865147974224,0.07238531112670901,0.9998639211395788,0.9998639211395788,0.9998639211395788,0.9998639211395788,0.9825836780449819,0.9913401814015109,0.9933637672562695,0.9952499039685173,0.9840974807739258,0.9920868873596191,0.9939332008361816,0.9956541061401367,0.00401894871523158,1443346,15333870,16777216,1.5625e-06
9,0.9975270928794822,0.9248905331001893,0.9313967333030739,0.0040741347131670776,0.08423634091571926,0.07654953002929694,0.9998107456620914,0.9998256867940315,0.9998256867940315,0.9998256867940315,0.9814207609931427,0.9909004811312596,0.9931679782995247,0.9952113623755777,0.9831814765930176,0.9917550086975098,0.9938054084777832,0.9956531524658203,0.004521317304635527,1644134,17230234,18874368,1.7578125000000002e-06
10,0.9978377362038169,0.9428752980822779,0.946709525738688,0.00358677328755858,0.07189589675153299,0.06688261032104502,0.9998314959915489,0.9998444578383529,0.9998444578383529,0.9998444578383529,0.9842268046012745,0.991885129755056,0.9937885161666888,0.9955060933585814,0.985374927520752,0.9924707412719727,0.9942340850830078,0.9958252906799316,0.005023685894039475,1798433,19173087,20971520,1.953125e-06
