iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.9973906855380723,0.9301599994288284,0.9356739327050373,0.004736620663528506,0.08350214025918642,0.07686710357666021,0.9998076879567411,0.9998076879567411,0.9998076879567411,0.9998076879567411,0.9811404760367348,0.9904215676676617,0.9927659246514708,0.9952435902509743,0.9827141761779785,0.9912128448486328,0.9933595657348633,0.9956283569335938,0.0005023685894039475,176796,1920356,2097152,1.953125e-07
2,0.9985271254398167,0.9322175125892114,0.9375582913635516,0.002279855493664405,0.08143072206362913,0.07465648651123051,0.9998997722603026,0.9998997722603026,0.9998997722603026,0.9998997722603026,0.9817445181665668,0.9905551896393388,0.9927908421166263,0.9950207581401582,0.9832992553710938,0.9913554191589355,0.9933996200561523,0.9954385757446289,0.001004737178807895,356387,3837917,4194304,3.90625e-07
3,0.9984582927620902,0.930112969483568,0.9357240970669827,0.002302440726354318,0.08044350974136155,0.073817253112793,0.999893232034885,0.9998988514014701,0.9998988514014701,0.9998988514014701,0.9822113009822864,0.991078555811913,0.9932362301713843,0.9951578681906381,0.9837117195129395,0.9918270111083984,0.9938015937805176,0.9955601692199707,0.0015071057682118426,534343,5757113,6291456,5.859375000000001e-07
4,0.9980920995577139,0.9377580571166418,0.942315465816695,0.0032353895316842274,0.07742165953451938,0.0714416503906251,0.9998575143376198,0.9998634512402189,0.9998634512402189,0.9998634512402189,0.9829705181794709,0.9909333369281293,0.9928766006779647,0.9949090430203752,0.9843268394470215,0.9916505813598633,0.9934377670288086,0.9953069686889648,0.00200947435761579,702781,7685827,8388608,7.8125e-07
5,0.9993239817475071,0.9347540430030171,0.9398630424054784,0.0012999625162416484,0.07540732963866245,0.06936359405517582,0.9999354770591616,0.9999413427810561,0.9999413427810561,0.9999413427810561,0.983010583026673,0.9914697379416298,0.9935116029211022,0.9953837450108218,0.9843864440917969,0.9921584129333496,0.9940342903137207,0.9957542419433594,0.0025118429470197376,873263,9612497,10485760,9.765625e-07
6,0.996361301369863,0.9258147235650306,0.9322108068213733,0.006403170129553978,0.08676396435592305,0.07929325103759771,0.9997142609307951,0.9997193634141737,0.9997193634141737,0.9997193634141737,0.9820552512690875,0.9909776563787859,0.9930248178883624,0.9949178636933381,0.9837055206298828,0.9917945861816406,0.9936504364013672,0.9953665733337402,0.003014211536423685,1069246,11513666,12582912,1.1718750000000001e-06
7,0.9989143022582513,0.92930989829417,0.9353948553506525,0.0017280005556118594,0.08185228841455341,0.07456350326538093,0.9999212114527032,0.999926464022523,0.999926464022523,0.999926464022523,0.9816920665271986,0.9909344026465713,0.9931244948916204,0.9951158215809046,0.9833469390869141,0.9917507171630859,0.9937419891357422,0.9955525398254395,0.0035165801258276327,1259629,13420435,14680064,1.3671875e-06
8,0.9982338938800583,0.9292775938984027,0.9351308641975309,0.0031106499177270415,0.07908175587911108,0.0724315643310547,0.9998639211395788,0.9998639211395788,0.9998639211395788,0.9998639211395788,0.9825632958527465,0.991336000439001,0.993362722015642,0.9952488587278899,0.9840788841247559,0.9920830726623535,0.9939322471618652,0.9956531524658203,0.00401894871523158,1443346,15333870,16777216,1.5625e-06
9,0.9975270928794822,0.9249512247994798,0.931452329107762,0.004068488942025336,0.0842883807790775,0.07661914825439456,0.9998107456620914,0.9998256867940315,0.9998256867940315,0.9998256867940315,0.9813954493968458,0.9908952078820311,0.9931748335235219,0.9952108350506549,0.9831585884094238,0.9917502403259277,0.9938116073608398,0.9956526756286621,0.004521317304635527,1644134,17230234,18874368,1.7578125000000002e-06
10,0.9978377362038169,0.9428340924992503,0.9466710941391333,0.0035685819332852693,0.07197747535745828,0.06695175170898438,0.9998314959915489,0.9998444578383529,0.9998444578383529,0.9998444578383529,0.9841861427498633,0.9918732914945186,0.99378336909689,0.995503519823682,0.9853372573852539,0.992459774017334,0.9942293167114258,0.9958229064941406,0.005023685894039475,1798433,19173087,20971520,1.953125e-06
11,0.9987322346033228,0.922624387804627,0.9301203221850244,0.002275826431055846,0.08441513542636124,0.07615280151367199,0.999900738787028,0.999900738787028,0.999900738787028,0.999900738787028,0.9812196613365903,0.9906427116407658,0.9928711930330523,0.9951808161799841,0.9831042289733887,0.9915766716003418,0.9935803413391113,0.9956569671630859,0.005526054483443422,2009996,21058676,23068672,2.1484375e-06
12,0.9981662143328688,0.9226259068408961,0.9293588761849436,0.002819151945490456,0.08944919616020272,0.08165597915649428,0.9998677787356474,0.9998730675862215,0.9998730675862215,0.9998730675862215,0.9797759522031366,0.9899223038926667,0.992359839104857,0.9946275696710035,0.9815874099731445,0.9908194541931152,0.993037223815918,0.9951004981994629,0.00602842307284737,2199073,22966751,25165824,2.3437500000000002e-06
13,0.9988456210558719,0.9262234719153779,0.9325657336438129,0.001716840700583178,0.0826003985347875,0.07517051696777349,0.9999170300921485,0.9999274013306299,0.9999274013306299,0.9999274013306299,0.9810256833048804,0.9904926243665032,0.992840455156747,0.9952140170381834,0.9827628135681152,0.9913601875305176,0.9934921264648438,0.9956474304199219,0.006530791662251317,2391914,24871062,27262976,2.5390625000000003e-06
14,0.9975132110662107,0.9310628084887533,0.9366034425188395,0.003834492505339379,0.0802693650779373,0.07362461090087899,0.9998238894025449,0.9998293928587153,0.9998293928587153,0.9998348963148858,0.9817781532048899,0.99105535624042,0.9933164460742343,0.9953723619748487,0.9833416938781738,0.9918155670166016,0.9938807487487793,0.9957590103149414,0.007033160251655265,2573618,26786510,29360128,2.734375e-06
15,0.9979981801637853,0.9398851493784982,0.9441360353562575,0.0030366940047366667,0.06935668249871933,0.06424188613891599,0.9998571978492754,0.9998634066384374,0.9998634066384374,0.9998634066384374,0.9849418157213766,0.9925855719517171,0.9943432381759112,0.995899467483433,0.9860873222351074,0.9931445121765137,0.9947671890258789,0.9962038993835449,0.007535528841059212,2734680,28722600,31457280,2.9296875e-06
16,0.9979389312977099,0.9264688931792641,0.9325752384968112,0.003032119104615357,0.08505764704666785,0.0777873992919922,0.9998544286053183,0.9998652116715909,0.9998652116715909,0.9998652116715909,0.9811322629985416,0.9905402379901197,0.9928397908432182,0.9949206873968183,0.9827880859375,0.9913649559020996,0.9934611320495605,0.9953579902648926,0.00803789743046316,2920156,30634276,33554432,3.125e-06
17,0.998770932554924,0.931092654142409,0.936823638406497,0.002174040136761573,0.08349439013670734,0.07647514343261727,0.9999003084898398,0.9999003084898398,0.9999003084898398,0.9999003084898398,0.9807434538856671,0.9898611861139156,0.992306668858053,0.995202951066866,0.9823927879333496,0.9907255172729492,0.9929604530334473,0.9956073760986328,0.008540266019867107,3100713,32550871,35651584,3.3203125000000002e-06
18,0.99711136450019,0.9295922791008393,0.9353111828068897,0.005588832595381223,0.07989809725186456,0.07343959808349616,0.9997628384378223,0.9997628384378223,0.9997628384378223,0.9997628384378223,0.9824484390928058,0.9913056459278197,0.9933981995374355,0.9952997143291119,0.983945369720459,0.9920368194580078,0.9939484596252441,0.9956855773925781,0.009042634609271055,3282024,34466712,37748736,3.5156250000000003e-06
19,0.9983735661701764,0.9364832570326221,0.9412339345286355,0.002552210872680779,0.07754456484885765,0.07159090042114263,0.999873680411441,0.9998857108484466,0.9998857108484466,0.9998857108484466,0.9832425901402813,0.9910958943128799,0.9929701430467651,0.994714401056084,0.9845609664916992,0.9917926788330078,0.9935183525085449,0.995124340057373,0.009545003198675003,3448269,36397619,39845888,3.7109375e-06
20,0.9984561093956771,0.9266064080469877,0.9328253201318436,0.0025589437656131737,0.08540387962414038,0.07826375961303719,0.9998729141341585,0.9998784396065864,0.9998784396065864,0.9998784396065864,0.9809067244485359,0.9903307218767418,0.9926462760128005,0.9949101646407525,0.9825434684753418,0.991154670715332,0.9932703971862793,0.9953389167785645,0.01004737178807895,3629249,38313791,41943040,3.90625e-06
21,0.9989317054559328,0.9284331827990479,0.9346208482716634,0.0014156632879338811,0.08278151246951995,0.07531213760375982,0.9999273583877714,0.9999377357609468,0.9999377357609468,0.9999377357609468,0.9806545282696877,0.9903414416424905,0.9927122359767384,0.9952683880961445,0.9824256896972656,0.9912233352661133,0.9933762550354004,0.9956974983215332,0.010549740377482898,3821976,40218216,44040192,4.101562500000001e-06
22,0.9980006151953246,0.9305070620860094,0.936220161767607,0.003079193702270186,0.08071905215995469,0.07401704788208013,0.9998563305723016,0.9998618563195208,0.9998618563195208,0.9998618563195208,0.9821880083353295,0.9910269436968637,0.9931144291692695,0.9950970184966869,0.9837126731872559,0.9917893409729004,0.9936966896057129,0.9955081939697266,0.011052108966886845,4002947,42134397,46137344,4.296875e-06
23,0.9982014388489209,0.9252542733319156,0.9316976969615938,0.002782681981115033,0.08699002935773292,0.07907485961914071,0.9998738635102271,0.9998738635102271,0.9998738635102271,0.9998738635102271,0.9804439707333616,0.9902172459153828,0.9925890779871445,0.9947607998929937,0.9822802543640137,0.9911298751831055,0.9932775497436523,0.995244026184082,0.011554477556290793,4201145,44033351,48234496,4.4921875e-06
24,0.9984409799554566,0.9271496013126457,0.9333937412178754,0.0023471648641638742,0.08621634024332614,0.07868242263793954,0.9998885817518132,0.9998938873826793,0.9998938873826793,0.9998938873826793,0.9809663572544904,0.9902696795103195,0.9925503216108783,0.9947094132939482,0.9826669692993164,0.9911346435546875,0.9932103157043457,0.9951753616333008,0.01205684614569474,4389624,45942024,50331648,4.6875000000000004e-06
25,0.9952582557154953,0.9322965859087281,0.9372533943060642,0.00782515899114893,0.08410391084214404,0.07749271392822271,0.9996285372128094,0.9996340814335137,0.9996340814335137,0.9996340814335137,0.9824836809990066,0.9908096060902011,0.9929428668018931,0.9952149016268917,0.9839582443237305,0.9915685653686523,0.9935183525085449,0.9955949783325195,0.012559214735098688,4569992,47858808,52428800,4.8828125e-06
26,0.9986697965571205,0.9270193582800542,0.9331585756572041,0.0020917491166991945,0.08687719296473331,0.07948350906372074,0.9999022026144501,0.9999022026144501,0.9999022026144501,0.9999022026144501,0.9803136065167597,0.9899320369369473,0.9923229233421393,0.9946996965131948,0.9820327758789062,0.990807056427002,0.992988109588623,0.9951562881469727,0.013061583324502635,4754046,49771906,54525952,5.078125000000001e-06
27,0.9986343979971171,0.9303029649285555,0.9361654570316609,0.0019322179853916164,0.08036886514990511,0.07332944869995113,0.9998989361702127,0.9999095744680851,0.9999095744680851,0.9999095744680851,0.9818809607616366,0.9908137225323075,0.9929162266807462,0.9950826335462027,0.9834961891174316,0.9916291236877441,0.9935431480407715,0.9955153465270996,0.013563951913906584,4942046,51681058,56623104,5.2734375e-06
28,0.9987926871334943,0.9368845728158806,0.941569370285058,0.001792673572002466,0.07089555538435378,0.0655646324157715,0.9999137134052388,0.9999137134052388,0.9999137134052388,0.9999137134052388,0.9842586342874213,0.9920755676514883,0.993928891489078,0.9956173490957165,0.9854698181152344,0.9926819801330566,0.994391918182373,0.9959497451782227,0.01406632050331053,5104296,53615960,58720256,5.46875e-06
29,0.9990086174025776,0.9326199502093471,0.9382032297557279,0.0014401409244993706,0.08107634170142902,0.07418966293334965,0.999928332010232,0.999928332010232,0.999928332010232,0.999928332010232,0.9811286382427862,0.9900634735039879,0.992492796592475,0.9951815467490709,0.9827547073364258,0.9909167289733887,0.993135929107666,0.9955921173095703,0.014568689092714478,5285688,55531720,60817408,5.6640625000000005e-06
30,0.9985685884691848,0.9339059024807528,0.9389804000706303,0.0021690447644193487,0.07922476854545796,0.07298231124877934,0.9998940222670992,0.9998940222670992,0.9998940222670992,0.9998940222670992,0.9823567105362151,0.9911166110190136,0.9932382264353592,0.9951730525267147,0.9837770462036133,0.9918274879455566,0.9937772750854492,0.9955554008483887,0.015071057682118425,5455535,57459025,62914560,5.859375e-06
31,0.9984771187085967,0.9308398959799032,0.9367520907844139,0.0021415716666691037,0.07654722224465722,0.06987571716308599,0.9998939919963957,0.9998939919963957,0.9998939919963957,0.9998939919963957,0.9827371106012249,0.991390562262148,0.9934770318058231,0.9954628980967646,0.9842805862426758,0.9921555519104004,0.9940543174743652,0.9958615303039551,0.015573426271522374,5644200,59367512,65011712,6.054687500000001e-06
32,0.9994163140230556,0.9305837554282246,0.9367330152985689,0.0007785554148817082,0.08331958139822249,0.07572269439697274,0.9999584687425374,0.9999636601497202,0.9999636601497202,0.9999636601497202,0.9812761810550237,0.990343003981043,0.9925094222919508,0.9945718777270565,0.9829921722412109,0.9912266731262207,0.9931941032409668,0.9950671195983887,0.01607579486092632,5836826,61272038,67108864,6.25e-06
33,0.9980866877621606,0.9244548058933583,0.9310480195351746,0.0036887120413984973,0.08832772707676499,0.08062267303466804,0.9998068540704199,0.9998120742306789,0.9998120742306789,0.9998120742306789,0.9799410890187643,0.9900634292740242,0.9924884038356685,0.9949359436226213,0.9817557334899902,0.9909539222717285,0.9931573867797852,0.9953813552856445,0.01657816345033027,6028391,63177625,69206016,6.4453125e-06
34,0.9978823529411764,0.9287331321022727,0.9346369849110224,0.0025528148350164224,0.08313615497743498,0.07573032379150396,0.9998545016160714,0.9998700907286351,0.9998700907286351,0.9998752870994897,0.9812569892529571,0.9907959741902966,0.9931517133841897,0.9952659459970284,0.9829635620117188,0.9916286468505859,0.9937682151794434,0.9956889152526855,0.017080532039734215,6220833,65082335,71303168,6.6406250000000005e-06
35,0.9978171045451002,0.9353721749948165,0.940408796040384,0.0031739136910229255,0.0756084366236894,0.0696921348571778,0.9998309570164496,0.9998309570164496,0.9998309570164496,0.9998309570164496,0.9832291059712359,0.9915262687227552,0.9935604420029518,0.9954518025049881,0.9845871925354004,0.9922056198120117,0.9940733909606934,0.9958100318908691,0.017582900629138164,6392387,67007933,73400320,6.8359375e-06
36,0.9983956361302744,0.9345257444913997,0.9396466550531708,0.0020780115418237433,0.0763405365713237,0.07006359100341802,0.999887139551944,0.9998927825743468,0.9998927825743468,0.9998927825743468,0.9829088587051067,0.9915487030337374,0.9935716808111912,0.9954175699057576,0.9843435287475586,0.9922537803649902,0.9941058158874512,0.995795726776123,0.01808526921854211,6569597,68927875,75497472,7.031250000000001e-06
37,0.9989240700891485,0.9300629575819731,0.935849598163031,0.001619175090058739,0.08089371917962819,0.07371616363525399,0.9999205575798661,0.9999205575798661,0.9999205575798661,0.9999205575798661,0.9813764452381551,0.9908082224513922,0.9930520621106556,0.995243500096419,0.9830460548400879,0.9916286468505859,0.9936704635620117,0.9956645965576172,0.018587637807946058,6758413,70836211,77594624,7.2265625e-06
38,0.9988465143104318,0.9256008478373745,0.932122123159859,0.0016827604790718058,0.08413344713848027,0.07668685913085944,0.9999099952879886,0.9999099952879886,0.9999099952879886,0.9999099952879886,0.9809141564126307,0.9906438963397795,0.9929161079153769,0.9950468303015344,0.9826250076293945,0.991478443145752,0.9935460090637207,0.9954848289489746,0.019090006397350007,6947292,72744484,79691776,7.421875e-06
39,0.9985904983003068,0.9316383932495386,0.937018800056582,0.001915910943447506,0.07882454354985133,0.0725393295288087,0.9998889330558608,0.9998889330558608,0.9998889330558608,0.9998889330558608,0.9824644200356786,0.9909682028405823,0.9930667613665863,0.995105613254666,0.9838857650756836,0.9916958808898926,0.9936232566833496,0.9954957962036133,0.019592374986753952,7118360,74670568,81788928,7.6171875000000005e-06
40,0.998568929877564,0.9317348398480899,0.937274828020218,0.00176789713677646,0.07778383300928447,0.0712327957153321,0.9998887244483514,0.9998998520035163,0.9998998520035163,0.9998998520035163,0.9826501055064676,0.9913967637729488,0.9934349213369229,0.9953218338411343,0.9841275215148926,0.9921255111694336,0.9939889907836914,0.9957141876220703,0.0200947435761579,7298094,76587986,83886080,7.8125e-06
41,0.9979001399906673,0.9262067623379151,0.9322303573668539,0.0025469424124934053,0.0823434672580507,0.07534646987915045,0.9998470237932636,0.9998579506651734,0.9998579506651734,0.9998579506651734,0.9814697847623735,0.9908965857363996,0.9930861070666004,0.9950248600268427,0.9830737113952637,0.9916787147521973,0.9936771392822266,0.9954466819763184,0.02059711216556185,7481129,78502103,85983232,8.0078125e-06
42,0.9985249592422949,0.9340729180642746,0.9393964914099142,0.0020603217364317454,0.07695854829546489,0.07056427001953126,0.999888935165903,0.999888935165903,0.999888935165903,0.999888935165903,0.9827769046313737,0.9913785413940076,0.9933356876119217,0.9952876175552677,0.9842462539672852,0.9921092987060547,0.9938983917236328,0.9956827163696289,0.021099480754965795,7661204,80419180,88080384,8.203125000000001e-06
43,0.9972942861690275,0.9344557858921744,0.939496589948575,0.0035249477374280423,0.07399864567245919,0.06823730468750011,0.999801532866741,0.999801532866741,0.999801532866741,0.999801532866741,0.9836434925245569,0.9918243425333063,0.9937850464135372,0.9955608957965852,0.9849634170532227,0.9924759864807129,0.9942765235900879,0.9959073066711426,0.021601849344369744,7832517,82345019,90177536,8.3984375e-06
44,0.9991186321170457,0.9370164713995303,0.9416468898949005,0.0010686042860201077,0.07534630171664752,0.06960678100585946,0.9999385439840706,0.9999385439840706,0.9999385439840706,0.9999385439840706,0.9827835945811539,0.9913142552291782,0.9934492466530261,0.9954431115251283,0.9841146469116211,0.9919834136962891,0.993952751159668,0.9957919120788574,0.02210421793377369,7995235,84279453,92274688,8.59375e-06
45,0.9982875083246123,0.9389870418791442,0.9431226441083391,0.0017540874867469061,0.07031958835413794,0.0653133392333985,0.9998818959634664,0.9998884572988295,0.9998884572988295,0.9998884572988295,0.9844406256041927,0.9920827625641215,0.993976585092948,0.9957655094963656,0.985562801361084,0.992650032043457,0.9944062232971191,0.9960651397705078,0.022606586523177638,8147643,86224197,94371840,8.789062500000001e-06
46,0.9981270485406587,0.932927745768171,0.9383534228778027,0.0022490013930900237,0.0771610608127838,0.07059144973754894,0.999847604948485,0.9998584903093075,0.9998584903093075,0.9998584903093075,0.9826175030142379,0.9913442899856226,0.9934154516078287,0.9953596154318526,0.9841270446777344,0.9920902252197266,0.9939799308776855,0.9957537651062012,0.023108955112581587,8331376,88137616,96468992,8.984375e-06
47,0.9990330690388706,0.9446301935813617,0.9483072442664725,0.000985233543475843,0.06421211601474605,0.05978870391845712,0.9999253179080867,0.9999321071891697,0.9999321071891697,0.9999321071891697,0.9856364120314217,0.992766151023073,0.9944919150647149,0.9960289477044774,0.9866399765014648,0.9932694435119629,0.9948740005493164,0.9963030815124512,0.023611323701985532,8478667,90087477,98566144,9.1796875e-06
48,0.9980916030534351,0.9262882336731882,0.9324601985762955,0.0017815707587259038,0.08355459903592027,0.0761675834655762,0.9998673310726548,0.9998885581010301,0.9998885581010301,0.9998885581010301,0.9812501931930049,0.9907010640153863,0.9929607017922548,0.9949976764448086,0.9829230308532715,0.9915266036987305,0.9935832023620605,0.9954371452331543,0.02411369229138948,8667106,91996190,100663296,9.375000000000001e-06
49,0.9978593046430944,0.9323859890302579,0.9380164494560653,0.00245559894208174,0.07984140964993709,0.07286739349365241,0.999840809958929,0.999840809958929,0.999840809958929,0.999840809958929,0.9822743042639538,0.9910247718601896,0.9931765004207056,0.9951218055449317,0.9838528633117676,0.9918169975280762,0.9937753677368164,0.9955458641052246,0.02461606088079343,8855560,93904888,102760448,9.5703125e-06
50,0.9969316397887826,0.9223570772125862,0.9292129175828543,0.002998793001624558,0.0858469384826534,0.07819557189941416,0.9997792528478949,0.999784386502595,0.999784386502595,0.999784386502595,0.9804589985381308,0.9903666973478717,0.9927122062660098,0.9949189401159297,0.9822535514831543,0.991241455078125,0.9933691024780273,0.9953708648681641,0.025118429470197375,9050353,95807247,104857600,9.765625e-06
