iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.3469906542056075,0.28233693830046075,0.28968038082284936,0.6768380002922989,0.6543520352259793,0.6564625457320945,0.8309402763090182,0.9202911254248407,0.9418540866703237,0.9644180036305852,0.8521274527108083,0.9265402829423854,0.9410314323920868,0.955194706123438,0.8501003140359572,0.9259423784057536,0.9411101419979266,0.9560771693045543,0.0005023685894039475,176831,1671365,1848196,1.953125e-07
2,0.36304989895849527,0.2632923387512103,0.2750309586247086,0.6373527184300138,0.6890316362484088,0.6839402440527942,0.8417109203656079,0.9243233915589548,0.9436614230208299,0.9645914743439876,0.8453761820012794,0.9218507939121788,0.9368607059389824,0.9518554174134993,0.8450017514568937,0.9221033859983532,0.9375554438464723,0.9531564892615221,0.001004737178807895,356477,3250255,3606732,3.90625e-07
3,0.3591663450405249,0.2799007600685428,0.28943955534969895,0.6309786846579896,0.6703433836285775,0.6661365367580293,0.8453283289413801,0.9283727672676807,0.9477685318889519,0.9650966136073762,0.8492065758103933,0.9244660431058985,0.9390282678862744,0.9532705792574115,0.8488050452031071,0.924870522082653,0.9399331828211323,0.954494976495315,0.0015071057682118426,534454,4791297,5325751,5.859375000000001e-07
4,0.36522455706633705,0.2645631332686204,0.2763226416186086,0.6565451255015554,0.6839744924601461,0.6810882820649853,0.8401965496982321,0.9198549615149519,0.9387206466200217,0.9588088328674773,0.8453469165028394,0.9228019918342582,0.9378588788515608,0.9528627415709824,0.8448235939676433,0.9225025476516381,0.9379464420311265,0.9534669167083738,0.00200947435761579,702961,6281180,6984141,7.8125e-07
5,0.35906498513936863,0.26493427203174785,0.274911009244795,0.633065014433651,0.676914573189871,0.6730203124008597,0.8435542521994135,0.927741935483871,0.9465337243401759,0.9646979472140762,0.8475806059027808,0.9239275469166149,0.9387012146090923,0.9531698957121818,0.8472145723817684,0.9242743108078783,0.9394132636058892,0.9542179043056945,0.0025118429470197376,873461,7986173,8859634,9.765625e-07
6,0.41452006507592193,0.3219534184823441,0.3338604968151753,0.5651144302162193,0.6204649731758795,0.6147095245450763,0.8609441797349278,0.9371295058717899,0.9537704951485038,0.9695748436399996,0.8600129847206606,0.9304749439476605,0.9440801950028981,0.9575425286247129,0.8601125492341536,0.9311864578736737,0.9451162937843739,0.9588290385096854,0.003014211536423685,1069483,9623482,10692965,1.1718750000000001e-06
7,0.37344656172328083,0.2975944808610504,0.30727308059216335,0.6134957436128748,0.6484960604839789,0.6445316767406902,0.8488152828771477,0.9308551708923591,0.9486351197323291,0.9663677954439209,0.853494222878724,0.9271770123589961,0.9416298094346213,0.9556972684908184,0.8529752096933199,0.9275850134823658,0.942406876123045,0.956880900719914,0.0035165801258276327,1259866,11149415,12409281,1.3671875e-06
8,0.3702598442390276,0.28040236367964066,0.2915910740203193,0.592732771750294,0.6636625788820506,0.6559584950244213,0.8543002035019752,0.934035977408016,0.9515458532391637,0.9680382191944804,0.8496247430813627,0.9253067452820396,0.9400062542819773,0.9545065864596093,0.8501228316076623,0.9262366922763903,0.9412355967042407,0.9559481452369276,0.00401894871523158,1443648,12690759,14134407,1.5625e-06
9,0.3741256319689729,0.2851530612244898,0.29653373222569473,0.5627451069240672,0.6551210650945729,0.6444656173980108,0.8596940172557141,0.937344730933332,0.9549190733890601,0.9708604457809131,0.8524219365840318,0.9263724843551423,0.9407577098180531,0.95490098293142,0.8532542854635572,0.927628347368433,0.9423785932533509,0.9567276734785052,0.004521317304635527,1644509,14244784,15889293,1.7578125000000002e-06
10,0.36650897081138983,0.25128491731619446,0.26286890254861783,0.6566575723763081,0.7038089590948398,0.6996326478082197,0.8376632213329878,0.9227165214010303,0.9425525710397563,0.9619155623238181,0.8409637123541966,0.9207622988976201,0.9360318997278316,0.951245285688389,0.8406705856487903,0.9209358593770683,0.9366110204969594,0.9521929456019651,0.005023685894039475,1798824,15827995,17626819,1.953125e-06
