iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.33847311019180143,0.0,0.3352454741860985,0.7298252647118715,4.692451350489155,0.781744520125233,0.821155456005792,0.9130410190275798,0.9354453720672413,0.9590714722052535,0.33857932794555506,0.4985112717992344,0.6112292641429179,0.6384517226712038,0.8148224642332833,0.9076010203910755,0.931190586501588,0.9548638827331745,0.0005023685894039475,176796,2351,179147,1.953125e-07
2,0.35112952395841474,0.0,0.3476511105951552,0.6897498414148329,4.777271412037035,0.7432270300040664,0.83151160136087,0.9173789332427571,0.9374300493900029,0.9589010585162954,0.32323232323232326,0.48274410774410775,0.5854377104377104,0.622895622895623,0.8248748399435062,0.9117037704638753,0.9328339753911423,0.9545137305115763,0.001004737178807895,356387,4727,361114,3.90625e-07
3,0.3441210710128056,0.0,0.34073618689003304,0.6924192780185129,4.706199513256004,0.745946055547278,0.8333071096226033,0.9205252983883656,0.9404290948324305,0.9588999527973207,0.335956917978459,0.4867439933719967,0.5932062966031483,0.628003314001657,0.8266507734102123,0.9147197427510118,0.9357820036591451,0.9544713644175861,0.0015071057682118426,534343,7141,541484,5.859375000000001e-07
4,0.35524788592273254,0.0,0.35151763740771125,0.7162754711674323,4.728211009174308,0.7727691415304739,0.8292487443451003,0.912139778434795,0.931642503473088,0.9521960602714352,0.3365304420350292,0.4945788156797331,0.5946622185154296,0.627606338615513,0.8223325294434428,0.9062785361399237,0.9269123603924232,0.9476398417195439,0.00200947435761579,702781,9539,712320,7.8125e-07
5,0.34437621202327084,0.0,0.340850927703135,0.6986294454381548,4.70144489247312,0.754415338978456,0.8314543470864959,0.9193228610645112,0.9392252554521885,0.9584941518752713,0.3283705541770058,0.4913151364764268,0.598014888337469,0.6315136476426799,0.8244187391555813,0.9133371891266628,0.9344534412955465,0.9539213418160787,0.0025118429470197376,873263,11957,885220,9.765625e-07
6,0.4054643319479458,0.0,0.40195879770347853,0.6181612670965086,4.686397741336632,0.667707235887752,0.8514616063638173,0.9302847695973631,0.9473933963660114,0.9639203400294923,0.3259075907590759,0.492986798679868,0.6002475247524752,0.6324257425742574,0.8450407495703277,0.9249421643389598,0.9431522073313946,0.959870367476954,0.003014211536423685,1069246,14381,1083627,1.1718750000000001e-06
7,0.3629757785467128,0.0,0.35978872273288515,0.6678238478077733,4.764478992036885,0.7188328387863191,0.8378689273727171,0.9237536964960107,0.9426944632661529,0.9609471433899035,0.3310980720871752,0.48491198658843254,0.5993294216261525,0.6303436714165969,0.8315963666357142,0.9183219293558612,0.9384444594307176,0.9568550959957255,0.0035165801258276327,1259629,16767,1276396,1.3671875e-06
8,0.357716454956928,0.0,0.35440474468392885,0.6546997375293936,4.700673513625104,0.7073761913140181,0.8426710647354355,0.9261799397987122,0.9443383029333159,0.9616801929053925,0.33236994219653176,0.4884393063583815,0.5966143682906688,0.6308835672997523,0.8360311380205115,0.9204841543147863,0.9398137950671273,0.957375939486083,0.00401894871523158,1443346,19189,1462535,1.5625e-06
9,0.3629026647185695,0.0,0.35969933108061514,0.6234803672359026,4.7451483718487415,0.671736202459294,0.8482130406199574,0.92966213120306,0.9481144291491523,0.964953084845708,0.3277310924369748,0.48445378151260504,0.5945378151260504,0.6327731092436975,0.8421158843912427,0.9244467632698062,0.9439724759804694,0.961061781382895,0.004521317304635527,1644134,21569,1665703,1.7578125000000002e-06
10,0.35811537083482625,0.0,0.35405596882748847,0.7109586262913241,4.811769238945575,0.7723768221237015,0.8271926584099702,0.9156378200766045,0.9363962177331027,0.956137110415492,0.32355442176870747,0.4851190476190476,0.5897108843537415,0.6232993197278912,0.8196308992601388,0.9091738961130156,0.9311909914395695,0.9511397948305469,0.005023685894039475,1798433,23921,1822354,1.953125e-06
11,0.42046618852459017,0.0,0.4170477642276423,0.5774082965608949,4.772651397515527,0.6248922339197848,0.8583211620179332,0.9326772639828326,0.949721832267457,0.9676975652642476,0.3233954451345756,0.47908902691511385,0.5838509316770186,0.6215320910973084,0.8522838796511791,0.9275579732495864,0.9455925375505894,0.9637906700688856,0.005526054483443422,2009996,26336,2036332,2.1484375e-06
12,0.332843240215641,0.0,0.32988689195753246,0.7376616694190721,4.7341779634300165,0.7872474513563165,0.8218662238135785,0.9153783908143244,0.9366025481682067,0.9564251601199512,0.3329129886506936,0.48675914249684743,0.5973097940311055,0.6284153005464481,0.8157905732909911,0.9100524402473675,0.9323865535684439,0.9523493648671235,0.00602842307284737,2199073,28715,2227788,2.3437500000000002e-06
13,0.3531401676717164,0.0,0.3498470056826461,0.642660937921331,4.753579353338971,0.6923389538092892,0.8412785662799923,0.9244351564242044,0.9435649058032265,0.9640429161848362,0.3224852071005917,0.4907016060862215,0.5929839391377852,0.628909551986475,0.8349905484946749,0.9191781032442484,0.9393157007689273,0.9599809433063363,0.006530791662251317,2391914,31081,2422995,2.5390625000000003e-06
14,0.3698071216617211,0.0,0.3663286302175191,0.6715667903310469,4.76914426333616,0.724128187205948,0.8345275833223265,0.9233258486329415,0.9431933254083564,0.9620976973539382,0.3285351397121084,0.48899237933954276,0.5914479254868755,0.6278577476714648,0.8280345093607727,0.9177523279693154,0.9386796040550672,0.9578086121282583,0.007033160251655265,2573618,33443,2607061,2.734375e-06
15,0.3576204950065132,0.0,0.35368891179249334,0.6417116290523989,4.794545644891121,0.7022320114140417,0.8431349418236456,0.9272764525462245,0.9460766661285716,0.9629769902273658,0.3341708542713568,0.4861809045226131,0.5912897822445561,0.6243718592964824,0.8356989905169777,0.9208320587335577,0.9408932395227898,0.9580299785867238,0.007535528841059212,2734680,35831,2770511,2.9296875e-06
16,0.35193538998835855,0.0,0.34868800461361016,0.688445166296785,4.799735080134968,0.7402258543106225,0.8337952080053485,0.9207013306303781,0.9409573206236925,0.9595635014772801,0.32939687895402786,0.4791227330240405,0.5879375790805568,0.6221003795866723,0.8274287052761023,0.915127736934846,0.9365015145304423,0.9553040506369546,0.00803789743046316,2920156,38202,2958358,3.125e-06
17,0.3578489229861316,0.0,0.3545016077170418,0.7169500306257168,4.726604243732019,0.7701658688657858,0.819192831072736,0.9092807257541939,0.9325753086283002,0.960328317373461,0.32922318125770655,0.48376489930127414,0.5906288532675709,0.6284422523633374,0.8126782884310618,0.9036231488059456,0.9280288540357396,0.9559156238045795,0.008540266019867107,3100713,40635,3141348,3.3203125000000002e-06
18,0.3689256918718675,0.0,0.3655271680460597,0.6566249977162858,4.790091333899745,0.7095402124792417,0.8412175764294499,0.9257077618015455,0.9444159482877487,0.961976934659232,0.32370433305012747,0.48343245539507224,0.5955819881053526,0.6333899745114698,0.8345847058503253,0.9200392018076389,0.9399450085753954,0.9577654969645822,0.009042634609271055,3282024,42989,3325013,3.5156250000000003e-06
19,0.3540833809251856,0.0,0.3504238998788857,0.7184262355634757,4.782681695127035,0.7765550926571039,0.8307437817678727,0.9143312580829499,0.9328942223826281,0.9516015519263737,0.3290295710120783,0.4910453977509371,0.5914202415660141,0.624323198667222,0.8236009155271989,0.9083049701742111,0.9280326838466373,0.9469421154370694,0.009545003198675003,3448269,45390,3493659,3.7109375e-06
20,0.35188054655585294,0.0,0.34873656289264277,0.7099385118521376,4.792433242220354,0.7628538511835455,0.8270913913139574,0.917543374958559,0.9380318267211847,0.9588186539949166,0.3246425567703953,0.48149705634987383,0.5836837678721615,0.6211101766190076,0.8205750499023767,0.9118882186760326,0.9334362285801546,0.9544388573173791,0.01004737178807895,3629249,47768,3677017,3.90625e-06
21,0.37809781416770233,0.0,0.3745925979575578,0.638250942800567,4.798611111111109,0.6889334264983064,0.8406087367104764,0.9244267798492167,0.9437753921349888,0.9641617417383138,0.3270440251572327,0.4846960167714885,0.589098532494759,0.6234800838574424,0.834331050883595,0.9190516216327033,0.9394399114354832,0.9599973348640781,0.010549740377482898,3821976,50153,3872129,4.101562500000001e-06
22,0.35166605638960086,0.0,0.3484002031488065,0.6907259328454215,4.807705818068276,0.7444684074178721,0.8332108459366417,0.920561857977245,0.939542799675086,0.9589105436782689,0.32431307243963364,0.4845961698584513,0.5857618651124064,0.615736885928393,0.8265448021246312,0.9148511503874617,0.9349086288603011,0.9544153174131416,0.011052108966886845,4002947,52555,4055502,4.296875e-06
23,0.3485346676197284,0.0,0.3453746989658592,0.670605692445181,4.736883600917433,0.7192367282607206,0.8375513375513376,0.9226026498753771,0.9418409872955328,0.9604940514031423,0.3311092577147623,0.4908256880733945,0.5996663886572143,0.6326105087572977,0.831497138527189,0.917441025743285,0.9377505034995712,0.9565744082633751,0.011554477556290793,4201145,54953,4256098,4.4921875e-06
24,0.3610599404846252,0.0,0.3578149136357253,0.6934049391775743,4.79637117881072,0.7447706806719471,0.8326763193777557,0.9189724054138657,0.9388366873763124,0.958541800412778,0.3287269681742044,0.4807370184254606,0.5866834170854272,0.6214405360134003,0.8263712428025798,0.9134894979226372,0.9344307816437624,0.9543242152912761,0.01205684614569474,4389624,57341,4446965,4.6875000000000004e-06
25,0.37383631506516635,0.0,0.3700024036535534,0.6240830703582393,4.793860908141959,0.6786170445553112,0.8469905970016854,0.9265113545640025,0.9450401401578994,0.9651490286525326,0.3235908141962422,0.47766179540709813,0.5849686847599165,0.6246346555323591,0.8401317553334099,0.9206294490679185,0.9403216187083819,0.9606867910901002,0.012559214735098688,4569992,59736,4629728,4.8828125e-06
26,0.32213468113572175,0.0,0.31909880724488293,0.749095082362038,4.800568062552476,0.8008312944019671,0.8177980375324633,0.9109717800210808,0.9328838275723429,0.9555130559509709,0.3178001679261125,0.4731318219983207,0.589840470193115,0.6221662468513854,0.8114098135553219,0.9053777167499839,0.9285009332961445,0.9512540496470638,0.013061583324502635,4754046,62118,4816164,5.078125000000001e-06
27,0.36725823976819993,0.0,0.3638843034522357,0.6529109717835775,4.768970866638621,0.7041874426713176,0.8404095744680851,0.9223989361702127,0.9412925531914894,0.9613936170212766,0.33697938578039544,0.4922170803533866,0.6024400504838031,0.6348338241480859,0.8341238700053053,0.9170277922228001,0.9370617248932381,0.9573162724488777,0.013563951913906584,4942046,64495,5006541,5.2734375e-06
