iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.5074638233054075,0.5015416912681231,0.501754456052041,0.49433702110567257,0.48745724412534547,0.4878927188180118,0.8759700445711441,0.9422328559469672,0.9580985995158261,0.9749768094300776,0.8778320202259013,0.9439368089678954,0.9588021861694537,0.974292700485839,0.877671813679686,0.9437901988724849,0.9587416487572417,0.9743515620133308,0.0005023685894039475,176796,1877988,2054784,1.953125e-07
2,0.5202585527352988,0.4821419356741097,0.48513942959699347,0.440146870580629,0.5123261982877735,0.5056969816882091,0.8913015639702239,0.9504250947902921,0.9636317070047381,0.9763594960107346,0.8748703985614033,0.9422869241756242,0.9572529527009355,0.9715139494002806,0.876354854741061,0.9430221585524609,0.9578292344806634,0.9719517151600876,0.001004737178807895,356403,3686417,4042820,3.90625e-07
3,0.5963817348712277,0.495493057278393,0.5039609198403265,0.36046047374037055,0.4773484732451582,0.4668489941918413,0.9108656072287532,0.96143990649374,0.9719762188406122,0.9811133089078199,0.8830167427768316,0.9470160509989185,0.9609517638147611,0.9739685722667111,0.8854883369274442,0.9482961720225901,0.9619301871397993,0.9746026695499349,0.0015071057682118426,534359,5513593,6047952,5.859375000000001e-07
4,0.5076355093136432,0.49414131141902146,0.49493207259333577,0.5026989034564089,0.47932642354872057,0.4813294419965629,0.8785784680416533,0.9389805150856695,0.9530984694665099,0.9678101141072679,0.8820130223212191,0.9468348141462486,0.9607144335787094,0.974175616407352,0.8817208374180469,0.9461666320697111,0.9600665271677012,0.9736340894662119,0.00200947435761579,702797,7325098,8027895,7.8125e-07
5,0.5533360622185837,0.5184522889668925,0.5210774574598926,0.4172968678404511,0.45422242140336444,0.45112817542907807,0.8961935483870968,0.9541524926686217,0.9662463343108504,0.9778299120234604,0.8885522912504664,0.9491435923396269,0.962155921181857,0.9745342682834,0.8891880984020814,0.9495603686100699,0.9624962727593488,0.974808489373155,0.0025118429470197376,873297,9203701,10076998,9.765625e-07
6,0.5972481504528797,0.5372520415682854,0.5428282458033817,0.3828778902055398,0.44034473222182846,0.43483074036548486,0.9067368088048453,0.9580422791772756,0.9691963078430272,0.9794574019175133,0.8921912240434088,0.9514867393415416,0.9641307574898801,0.9762107384095582,0.8936084427974422,0.9521254647108129,0.964624308837435,0.9765270703059361,0.003014211536423685,1069280,11019184,12088464,1.1718750000000001e-06
7,0.5627848278763233,0.5119946739653068,0.5165952317171176,0.4077382131813884,0.4660777338285778,0.4603190596148734,0.8986464127574416,0.955211337146699,0.9668930524258994,0.9784644637388843,0.8863251961171321,0.9489657789652198,0.9620698087197932,0.9742476788123471,0.8875213141770892,0.9495720847508791,0.9625380391772932,0.9746570355141102,0.0035165801258276327,1259663,12789937,14049600,1.3671875e-06
8,0.5347550177095631,0.4978084519325469,0.5009253252296241,0.41727800725166714,0.4803362792887263,0.47427541349992824,0.8984592274911696,0.9548544402658118,0.9668116186547222,0.9777020665182677,0.8817750074371664,0.9462553797364145,0.9600854395072326,0.9735767105343206,0.8833268536855022,0.9470552025497414,0.9607110603538698,0.9739604215010914,0.00401894871523158,1443402,14581614,16025016,1.5625e-06
9,0.5793869894528209,0.5115644944387895,0.5177263917303758,0.3591105712630444,0.4559841898268014,0.4463287744083947,0.9105006822505304,0.9614403952073145,0.9721621863888529,0.9823312052428712,0.8883026979518027,0.9502590972573256,0.9632447554930893,0.9753470582653939,0.8905280762846195,0.9513800376929894,0.9641387401555148,0.9760472285667927,0.004521317304635527,1644208,16383833,18028041,1.7578125000000002e-06
10,0.5311960766506221,0.47995434543849197,0.48338105066915243,0.47906525746202366,0.48182399534255377,0.4816401356749841,0.882248102709674,0.9444260818281389,0.9581850822105134,0.9716718838100052,0.8799246396275263,0.9474058008604279,0.9614563094952053,0.9745441275610088,0.8801004098762527,0.9471803847737836,0.9612088407758231,0.974326841991724,0.005023685894039475,1798507,18269174,20067681,1.953125e-06
