iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.45577348698771275,0.08601622851921108,0.12275204878978464,0.40706914623262846,3.291563617344214,3.043186747029505,0.8983574289011064,0.9606665309169891,0.9725220027602435,0.9841286001945745,0.5469437494148987,0.6529348686394159,0.688465949225964,0.7318767499851065,0.5771499777325297,0.6793863513048348,0.7128823635801425,0.7535593919133105,0.0005023685894039475,176796,1880016,2056812,1.953125e-07
2,0.4609839182444744,0.07718271628874337,0.11544170761329449,0.38478808071233334,3.33060954799126,3.0645929931050895,0.9059335103865662,0.9635370559053934,0.9742270624196162,0.9836030889664656,0.5401347322849488,0.64909740866711,0.6852198561801678,0.7281391699266307,0.5731717987243774,0.6774959822515081,0.7113215023462847,0.7512113587130332,0.001004737178807895,356403,3689085,4045488,3.90625e-07
3,0.4764418531358336,0.07807394516266515,0.11824564486369482,0.3535867601994138,3.280369787340429,3.0204836323308784,0.9129054372991077,0.9682168625952483,0.9781856189170357,0.9864067522308886,0.5492917723179155,0.6560904301827403,0.6915089184226633,0.7334353414356912,0.5815184802248744,0.6837538772314625,0.7169167817136118,0.7558559393109933,0.0015071057682118426,534359,5519005,6053364,5.859375000000001e-07
4,0.485052065838092,0.08077803203661327,0.11896883048536412,0.40340126657323433,3.2742580405787836,3.0298798961226217,0.9038993576271388,0.9586910317149336,0.9689559363089089,0.9784312328571938,0.5509401466103527,0.656993229973476,0.6919643448211945,0.7339311169661101,0.5809490927923099,0.682643879717374,0.715514447785965,0.7547187620827264,0.00200947435761579,702797,7331701,8034498,7.8125e-07
5,0.48384451369525994,0.07368736103984949,0.11222552066781898,0.3569193806130868,3.3068390555339375,3.0622834599165474,0.9127800586510264,0.9682287390029326,0.9778944281524927,0.9859354838709677,0.5471005249159688,0.6533550825855035,0.6884765105950535,0.730052555377678,0.5774855454144947,0.6795185443657332,0.7125248057451861,0.7513143633549454,0.0025118429470197376,873297,9213145,10086442,9.765625e-07
6,0.5331948771201107,0.08790108712833032,0.13786406252437483,0.32417364733564263,3.248848881706868,2.9640759765977465,0.9214931907359312,0.9716046799977549,0.9803299265752642,0.9874121735048448,0.5557667626921657,0.6604734809886036,0.6949413106103587,0.7357611443742461,0.5914004314251298,0.6907877958093397,0.7227474592002975,0.7602801529028727,0.003014211536423685,1069280,11028635,12097915,1.1718750000000001e-06
7,0.4857984430885756,0.07963913654316843,0.12498330885298438,0.356708671939426,3.29543668531346,3.0105871860599778,0.9116465230614078,0.9679803343785948,0.9774979908920439,0.9856289689730701,0.5489185650516644,0.6553448965442934,0.6906003358735392,0.731728203054001,0.5840966769464625,0.6856649316327352,0.7184242672461659,0.7563520274834266,0.0035165801258276327,1259663,12801326,14060989,1.3671875e-06
8,0.48828935665579604,0.0761953284902362,0.11972738849497697,0.36446702729908315,3.3090792520736305,3.035346182743332,0.9118205715716315,0.9668170611574026,0.9763305558427987,0.9845596198956128,0.5455540984191557,0.6523798531563358,0.6878640982407308,0.7298786933947115,0.5795906456114193,0.6815999910985727,0.7146708166199763,0.75354577736013,0.00401894871523158,1443402,14594798,16038200,1.5625e-06
9,0.4947762247635183,0.08050141230547904,0.12609333999750094,0.32566678648328506,3.2900902133772396,2.993065663628968,0.9187076083383963,0.9713753573100405,0.9803242930988117,0.9881826240251785,0.5489987124361141,0.6558765003780589,0.6909497184390132,0.7321933686854034,0.5860549506223062,0.6874992200894963,0.7199539790409971,0.7578513902372674,0.004521317304635527,1644208,16397427,18041635,1.7578125000000002e-06
10,0.487509117432531,0.07219379799222853,0.10719139997528729,0.3741491952617159,3.321181197969439,3.0991302682614625,0.9076014750581662,0.9649706090123721,0.9756317280086066,0.9841995087460061,0.5421739365199356,0.6517653996698842,0.6877165789498759,0.7297380565940051,0.5697686084451238,0.6754165865279913,0.7094580276440502,0.748953303255025,0.005023685894039475,1798507,18286461,20084968,1.953125e-06
11,0.5218660783804827,0.0759936257967754,0.13212930094524467,0.32745902955135403,3.2875848745967926,2.9658096062391595,0.918557168784029,0.9695251058681186,0.9785900635208712,0.9872296581972172,0.5484064623533513,0.6552126217694583,0.6908089024759116,0.7327733304394206,0.5886943943175669,0.6894230116319505,0.7221315708791762,0.7604688583486457,0.005526054483443422,2010091,20018833,22028924,2.1484375e-06
12,0.4633138623735575,0.07764666217127444,0.11832199272793108,0.3905170651504254,3.3138860750359176,3.0407190186026107,0.9044511546983823,0.9641612505751017,0.9748488870791181,0.9837649460329884,0.5443679655182891,0.6528774909607046,0.6885333336227065,0.730245938285377,0.57787448927521,0.6818431216817958,0.7151756184672375,0.7538364332353588,0.00602842307284737,2199188,21861897,24061085,2.3437500000000002e-06
13,0.4741044776119403,0.07735994267668056,0.11921158869627167,0.3574907672755995,3.336064258109629,3.0504139523506852,0.9092521062864549,0.9658120544394038,0.976347375243033,0.9863434867141931,0.541264006885186,0.6496511399181558,0.6855619917450497,0.7280913499339637,0.5766142407607185,0.6800226717389204,0.7134958606146272,0.7528999604539528,0.006530791662251317,2392063,23676808,26068871,2.5390625000000003e-06
14,0.5002260397830018,0.08534236623811052,0.12697181867250515,0.3522230238297972,3.2774982269071953,3.0186288280184974,0.9117815364637784,0.9686038450110597,0.9788271285668695,0.9867559507433614,0.5524474364749297,0.6573653131556731,0.6920164214540284,0.733164211330461,0.5842884753028273,0.6849445442329708,0.7174310727819155,0.7556352888634055,0.007033160251655265,2573805,25546070,28119875,2.734375e-06
15,0.4893860653571743,0.08503094713847327,0.1210364167785765,0.3375896836554014,3.286386959823857,3.051914148561404,0.9162185990488135,0.9698687461971166,0.9791757211508612,0.9868187406092064,0.5499559007099263,0.6557802736137374,0.690833720239673,0.7320385760347268,0.5790378709934092,0.6807195089425908,0.7137286356651593,0.7522686164089726,0.007535528841059212,2734867,27413447,30148314,2.9296875e-06
16,0.46805678793256433,0.0753771490254241,0.11690065642765163,0.37472716946869133,3.322550756372694,3.0508076056339886,0.9078586986995623,0.9647878970864155,0.9754577411632772,0.9844993422329573,0.5440777801977229,0.6516751066812739,0.6876216888857758,0.7294547571803967,0.5775981900578375,0.6805267273491442,0.7141441972256695,0.7529557122573504,0.00803789743046316,2920343,29240853,32161196,3.125e-06
17,0.47983600447260527,0.08701515704119628,0.12696464777352623,0.4024007432339579,3.322980523549528,3.0630903100352955,0.8971294383491086,0.9574760324994324,0.9695165515598952,0.9842487413946842,0.5440317663873021,0.6511585858193327,0.6870193698536682,0.7293644779509234,0.5753863238338236,0.678359127599857,0.712104706902411,0.7519978281963653,0.008540266019867107,3100900,31093629,34194529,3.3203125000000002e-06
