iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.38899373443043705,0.4358786489466659,0.43154464220657496,0.6331791031179654,0.5555930917448295,0.5622167499950722,0.8421400936672775,0.9252754587207855,0.9455134731555013,0.9667865788818751,0.8629517334509059,0.9372216435887769,0.9537558280457596,0.9695157796535441,0.8611610758113748,0.9361937799788201,0.9530466462654955,0.9692809560518283,0.0005023685894039475,176796,1877988,2054784,1.953125e-07
2,0.3889193207606229,0.3961661341853035,0.3953222363354636,0.607099929137819,0.6244374212152854,0.6226643975668703,0.8487920849410101,0.9277422372179258,0.9464219100591847,0.9654356456040132,0.8477258438125025,0.9294011542615165,0.9475915283375792,0.9650353981273249,0.8478221722343057,0.9292512811639226,0.9474858604170145,0.9650715580603169,0.001004737178807895,356403,3686417,4042820,3.90625e-07
3,0.41147170986068954,0.414306430416459,0.41373179992144593,0.5667491136766254,0.5753451370704711,0.5746334105903006,0.8600665333003664,0.9366247836543865,0.9531344826811122,0.9686045988896131,0.8592850387702116,0.9345832038074056,0.9514250406091148,0.9681311488329531,0.8593543966182775,0.93476439456355,0.95157675404911,0.9681731676518055,0.0015071057682118426,534359,5513593,6047952,5.859375000000001e-07
4,0.3997169261510282,0.42674653579676675,0.42428693923944616,0.6255870634243017,0.5681113595377182,0.5729741947590159,0.8470357045322314,0.9232002279770598,0.9414740141773235,0.960388985858298,0.8606352176781185,0.9370490282941532,0.9535723059003426,0.968793903411804,0.8594782779100206,0.9358708811314265,0.9525430782603338,0.9680788790384369,0.00200947435761579,702797,7325098,8027895,7.8125e-07
5,0.3851384167071394,0.3997846169625131,0.39825989900959474,0.6096751540734977,0.5974307135990811,0.5983633314949273,0.8500703812316716,0.9308739002932551,0.948615835777126,0.965524926686217,0.8542145413373661,0.9320165037530548,0.9491925649006203,0.9656388284272941,0.8538697176276644,0.9319214309871198,0.9491445769197546,0.9656293509891889,0.0025118429470197376,873297,9203701,10076998,9.765625e-07
6,0.45478759732277013,0.4243493503029379,0.4271901954998662,0.5273416509559343,0.5565857438790052,0.5536726618173017,0.8709786052871933,0.9412398014113469,0.9563890745625896,0.9708750248746064,0.8632562243766535,0.9376000766738107,0.954057405109274,0.9695315241178243,0.8640086384756193,0.9379547056723803,0.9542845864657916,0.9696624253156653,0.003014211536423685,1069280,11019184,12088464,1.1718750000000001e-06
7,0.4092484747642818,0.4128258642279816,0.41220448990490277,0.5765466553461472,0.5754599349824617,0.5755915871273076,0.8575555590572688,0.9352673295409779,0.9521700992210439,0.9685160965002128,0.8594456708530213,0.935816570690548,0.9524970450424198,0.9679944068992118,0.8592621827349046,0.9357632515032104,0.9524653058227476,0.9680450514395738,0.0035165801258276327,1259663,12789937,14049600,1.3671875e-06
8,0.4239719010683448,0.4030487851191335,0.4047259929612871,0.5446270935883407,0.6089112977325148,0.6030273921970732,0.8669525794741454,0.9398821153919419,0.9555728506196289,0.9700988902737034,0.8511349981051272,0.9300398453515896,0.9473794662765666,0.9644255074993986,0.8526062358510815,0.9309553025793048,0.948141556006431,0.9649532047933195,0.00401894871523158,1443402,14581614,16025016,1.5625e-06
9,0.4246680642907058,0.42078640119989413,0.42091561580356074,0.5252522677846563,0.568296674788916,0.564036368625267,0.8695756102905292,0.9419140862324831,0.9578299453203589,0.9729340756750297,0.8614890865094642,0.9371430442138275,0.9533475121502991,0.9685670831347356,0.8622997715954619,0.9376213477115862,0.9537968822156488,0.9690048801188202,0.004521317304635527,1644208,16383833,18028041,1.7578125000000002e-06
10,0.4086166576722432,0.39715172853936453,0.3977386784363513,0.6219947787301359,0.5936781203887657,0.5957487030876155,0.8462530541351532,0.9270960926512809,0.9454306249554436,0.9630068892215763,0.8531745716026968,0.9329081582589038,0.9507192598049902,0.9673205006415285,0.8526509580121983,0.9324684748288914,0.9503191739718774,0.9669941754427251,0.005023685894039475,1798507,18269174,20067681,1.953125e-06
