iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.30437233271599967,0.0,0.3012672351956643,0.9575061017839311,7.449654190398702,1.014455181909242,0.781006629802264,0.8846732868185635,0.9122202599808923,0.9378854115399091,0.13995117982099267,0.21887713588283156,0.28641171684296174,0.33197721724979656,0.7753545730416879,0.8788030962817358,0.9067026321264339,0.9325432410522767,0.0005023685894039475,138164,1229,139393,1.953125e-07
2,0.3281575156074916,0.0,0.324829662494058,0.8904737709302449,7.470441878980889,0.9477211694491326,0.7961309731062242,0.8925363156501999,0.9178562972660548,0.9412751911533266,0.1480891719745223,0.214171974522293,0.2802547770700637,0.32722929936305734,0.7905120876996783,0.8866545168371784,0.9123279349431858,0.9359510693230612,0.001004737178807895,281766,2485,284251,3.90625e-07
3,0.3079816813869807,0.0,0.30479119456134673,0.8954867373201881,7.292841174183514,0.9539270154073785,0.7925807766865285,0.8943983862545511,0.9191482056380947,0.9429323528780607,0.16096423017107309,0.23250388802488337,0.2884914463452566,0.33825816485225507,0.786823546089237,0.8883651699330191,0.9133997235708969,0.9374207038310238,0.0015071057682118426,421565,3771,425336,5.859375000000001e-07
4,0.3192542193160732,0.0,0.3156837046745304,0.9503825292231326,7.328989672642236,1.0122887135294938,0.790087081273284,0.8834854106086434,0.9074963941102515,0.9309905976906879,0.16134060795011693,0.23616523772408418,0.2899454403741232,0.34450506625097427,0.7839260073931507,0.8771423334249839,0.9014450248984206,0.9252436379189197,0.00200947435761579,551214,5054,556268,7.8125e-07
5,0.32823840833404494,0.0,0.3246895852690261,0.9047972908923428,7.244892525174288,0.9665002464903909,0.7935778771611454,0.8921268631217683,0.9172291782142884,0.9413368159695067,0.1680867544539117,0.24786986831913246,0.3020914020139427,0.3601859024012393,0.7875060153994226,0.8858728344562079,0.9112578200192493,0.9356953801732435,0.0025118429470197376,682915,6345,689260,9.765625e-07
6,0.362143537863793,0.0,0.35877696274239235,0.8258567532617781,7.588856319554849,0.8815524355223681,0.8109180417056454,0.9024170166464309,0.9251341865541424,0.9468627880283699,0.1422893481717011,0.21860095389507153,0.2742448330683625,0.32591414944356123,0.8053835676828025,0.896756831446036,0.9197465472657766,0.941722978530211,0.003014211536423685,833638,7603,841241,1.1718750000000001e-06
7,0.3347921225382932,0.0,0.3316953316953317,0.8784052475467691,7.576782128514058,0.9340280334882091,0.7984755706483213,0.8965980515929544,0.9212265647679937,0.943768945659292,0.13333333333333333,0.20883534136546184,0.25863453815261045,0.3196787148594378,0.7929314569580761,0.89086539105285,0.9157037076710898,0.9385670098951568,0.0035165801258276327,981759,8848,990607,1.3671875e-06
8,0.30891180544866864,0.0,0.3058984910836763,0.8607225386485102,7.326543029595011,0.9180649671791914,0.8010284175347283,0.8998025494149742,0.9233361474111647,0.9456557382768076,0.14953271028037382,0.23909657320872274,0.2897196261682243,0.3348909657320872,0.795243791966033,0.8939361459363395,0.9177102710028975,0.940232762376306,0.00401894871523158,1125086,10132,1135218,1.5625e-06
9,0.3469687434445144,0.0,0.34389077552151914,0.7838982005707177,7.424844627105054,0.8336031818500225,0.8171700919826356,0.907604505024134,0.9304574845936675,0.9508575938799673,0.15717722534081796,0.22534081796311148,0.27906976744186046,0.3360064153969527,0.8122107597377555,0.9024778249132279,0.9255628133436175,0.9462374662553027,0.004521317304635527,1289791,11379,1301170,1.7578125000000002e-06
10,0.3227346510073522,0.0,0.31883784548627486,0.9345743491499396,7.546536144578321,1.0016123705577427,0.78542848167193,0.8865098129991237,0.9119971561316778,0.935913758039715,0.13172690763052208,0.21044176706827308,0.27228915662650605,0.321285140562249,0.7787688102972825,0.8796222802294468,0.9054800461512025,0.9296521475856538,0.005023685894039475,1410753,12624,1423377,1.953125e-06
11,0.38605082053996825,0.0,0.38280839895013125,0.7439470515567447,7.5154773622047255,0.7936714318875424,0.8301980915919835,0.9130485222889295,0.9331535137329969,0.952162185678239,0.13228346456692913,0.21496062992125983,0.2732283464566929,0.32440944881889766,0.8250942907321568,0.9079434543517693,0.9283275271355771,0.947571473814528,0.005526054483443422,1583148,13894,1597042,2.1484375e-06
