iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.05297760110083327,0.14358579252596562,0.13711707116960295,2.8996402429811683,2.050495760819229,2.107513377402284,0.4771503430705538,0.6224921108248169,0.6750238846588112,0.738462986016618,0.6089896539775259,0.7374387406564031,0.779140167631097,0.8260424835664727,0.6001354229098038,0.7297190096142488,0.7721477947113125,0.8201607089821943,0.0005023685894039475,138164,1919095,2057259,1.953125e-07
2,0.06866426546095486,0.1417401132735055,0.13638963564605616,2.627742660704587,1.9783439973934167,2.0251372624549435,0.5259954596732636,0.6620520605562596,0.7103661508892634,0.7675310928817147,0.6166735260967691,0.7468870292211722,0.7887230969116424,0.8355813434261105,0.6101704141669043,0.740802963707271,0.7831036123927951,0.8307010188492862,0.001004737178807895,281766,3777850,4059616,3.90625e-07
3,0.0786359389598256,0.13926193792407263,0.13476606355696846,2.6585132382027084,2.0194342538986683,2.0629233015862622,0.5220280545640527,0.6598258928890764,0.7080951938139758,0.7644546813639582,0.6098835313078002,0.740187595016589,0.7829271324351975,0.8307113801056643,0.6038103903103544,0.7346324723776371,0.7777542629545112,0.8261312868844151,0.0015071057682118426,421565,5660416,6081981,5.859375000000001e-07
4,0.06077025675225075,0.13113430706266663,0.12631358203043083,2.726578137172288,1.9892726345683254,2.036821641262471,0.5097609700036252,0.6508033228177618,0.6987095928237009,0.754275004049395,0.6153278686796939,0.7462946023020679,0.7883117676939063,0.8349691111471768,0.608577103620807,0.7401881503644285,0.7825819107131671,0.8298089050078893,0.00200947435761579,551214,7558188,8109402,7.8125e-07
5,0.06373145220141085,0.1459135276326643,0.14058710468409527,2.820471032632627,2.023362722371113,2.073910567880395,0.4955087660685948,0.6383930266284994,0.6882331948884215,0.7472760267575796,0.6088997882891072,0.7419048006513548,0.7846574233481426,0.8323539151065584,0.6016976127320955,0.7353301181577043,0.7785329153605016,0.8269500843983603,0.0025118429470197376,682915,9499987,10182902,9.765625e-07
6,0.07918725210493355,0.14302518550545867,0.13778226065054777,2.577633605500654,1.9493018855396662,1.9956637202331136,0.531259330029259,0.6731686603902524,0.7210445651957564,0.7772934455922453,0.6204235179522006,0.7494758376232864,0.7914035795763771,0.8385060309506404,0.6138874514625435,0.7438822378199192,0.7862460022255251,0.8340189208537924,0.003014211536423685,833638,11405408,12239046,1.1718750000000001e-06
7,0.05549389567147614,0.13038069769538174,0.12449776971011765,2.7296133998977195,1.9565858073943039,2.013095125435512,0.5024675771835189,0.6496107911774833,0.7019733866230987,0.7615328008857624,0.6211278633551179,0.7497562737432082,0.7908820807816113,0.8368834674772421,0.6125320093352817,0.7425016481506478,0.7844414578846157,0.8314249998532803,0.0035165801258276327,981759,13302003,14283762,1.3671875e-06
8,0.09595699241475808,0.1265849653820461,0.1242822339586129,2.3594600055729216,2.022731917914049,2.0470314413323867,0.564743558436303,0.7003286191715448,0.7458957488819273,0.7975957077173177,0.6098688366816406,0.7400310232566892,0.7818145648007011,0.829219929082018,0.6066402026335573,0.7371903862876905,0.7792446368899703,0.8269572718350737,0.00401894871523158,1125086,15161898,16286984,1.5625e-06
9,0.06397058823529411,0.13406482996072955,0.1282713692013928,2.4532561221647824,2.0711987938007708,2.102543709179473,0.5454727588425999,0.6877618174532827,0.7360212246682127,0.7890707529414621,0.5994680664470474,0.731923135388995,0.7751528352249716,0.8235732455706752,0.5951214768013324,0.7283681759712866,0.7720027642130204,0.8207958157556232,0.004521317304635527,1289800,17043336,18333136,1.7578125000000002e-06
10,0.0665629005676616,0.11956251862151157,0.11628407544008657,2.6308770070869363,2.006708435913254,2.043412555438085,0.5201633570873497,0.6601577354871778,0.7090739240422612,0.7652651245845803,0.6097393011701419,0.7420892579555534,0.7844853961474633,0.8320781014837181,0.604485666464317,0.73728396905407,0.7800625086063276,0.828159516222564,0.005023685894039475,1410762,18984810,20395572,1.953125e-06
