iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.0488343745238458,0.0426455735113297,0.0430888727213108,2.627345675361348,2.3684784349914056,2.3853040838975685,0.5090978836744738,0.6597087519180105,0.7112851393995542,0.7731970701485191,0.5400881043143111,0.6955431059683378,0.7471433969060347,0.8030521737225115,0.5379572051728042,0.6930791224049508,0.7446777697320782,0.8009993256542522,0.0005023685894039475,138164,1871191,2009355,1.953125e-07
2,0.06397795974592485,0.036558847512911115,0.038472902245483706,2.3109481713128988,2.4403233775319553,2.4306644327491695,0.5659252656648236,0.7068494867759502,0.7550869765045055,0.8078369382042033,0.5262667599335612,0.6856811501735462,0.73848771385894,0.7971157046718185,0.5291885327777472,0.6872406913085704,0.7397106362544525,0.7979055732867221,0.001004737178807895,281766,3676762,3958528,3.90625e-07
3,0.060403726708074534,0.038664804144112684,0.040207838930247174,2.2447474951761093,2.3451020845818054,2.3379056036731467,0.5705977868225095,0.7167361712172476,0.7646406626656843,0.8155494674496956,0.5429734821105384,0.6996473321297576,0.7514285458137641,0.8077803216483385,0.5449801790716562,0.700888707137145,0.7523883062498409,0.808344691373934,0.0015071057682118426,421565,5461444,5883009,5.859375000000001e-07
4,0.0482815734989648,0.03895350474527585,0.03957402120394948,2.369691059490433,2.371422385021487,2.3714016098300075,0.5518129719473347,0.69840878063078,0.7472020609491782,0.7996899320472969,0.5376845972648988,0.6958752820331765,0.7483486233471063,0.8052009951840594,0.5386276313736917,0.6960443868060765,0.7482720931393925,0.8048331453336347,0.00200947435761579,551214,7274174,7825388,7.8125e-07
5,0.05481110752340975,0.037108346498156926,0.03825951091146449,2.410531686120455,2.399657388681488,2.400410911277429,0.5462752750548591,0.6945429419670314,0.7429252625264804,0.7973591696342472,0.5349817864218307,0.6927912574824787,0.7452373090769657,0.8022016062032677,0.5357219816056465,0.6929060659762191,0.7450857734640973,0.8018842243611468,0.0025118429470197376,682915,9151894,9834809,9.765625e-07
6,0.07762271748941192,0.0442244074088836,0.046786551170322,2.156020381412786,2.2253600403960916,2.220496056762412,0.5863972295567025,0.7312086191569255,0.7762614937572146,0.8255005506388737,0.5604689778352117,0.717721333792369,0.7678671755218676,0.8212850062301585,0.5624335531180459,0.7187432610609082,0.7685032103111988,0.8216044166724055,0.003014211536423685,833649,10990531,11824180,1.1718750000000001e-06
7,0.05756293779041542,0.038922398323627816,0.04038535563064026,2.335084892587818,2.3072196027422507,2.3098046541135466,0.5516975985849407,0.7037962206574355,0.7541199424794593,0.8085079090743379,0.5467098600401655,0.7061847038570099,0.7579313057909629,0.8131834984338675,0.5471003595842713,0.7059977049611846,0.7576329069029292,0.8128174376436051,0.0035165801258276327,981770,12734317,13716087,1.3671875e-06
8,0.07849305047549378,0.032829933376907816,0.03617258991274739,2.104022878518178,2.426296020147017,2.4027037817450867,0.5916121875152623,0.735144111018859,0.7802507552659304,0.8298227130966253,0.5287253222048215,0.6872189294913755,0.7403746266355986,0.7983642338685355,0.5333862859867319,0.6907709833938618,0.7433301117021744,0.8006958309610648,0.00401894871523158,1125097,14524793,15649890,1.5625e-06
9,0.07033598290027386,0.036541454161318536,0.03921537816886654,1.9512476929708475,2.3050073266098234,2.2752541886634967,0.61175734910208,0.7562684410554051,0.800405551440679,0.8482764063771143,0.5455263396454753,0.7060618919518662,0.7582356405677424,0.8140855551149594,0.5510843531862667,0.7102751552260235,0.7617744804188746,0.8169548034601889,0.004521317304635527,1289811,16322862,17612673,1.7578125000000002e-06
10,0.05899543378995434,0.03125865833250213,0.03286735952824073,2.31940418917718,2.4296163223513276,2.4227061348743915,0.558009953539128,0.7061143168929085,0.7536333724640796,0.8053686281642168,0.5273483270844453,0.6877115108060475,0.7408943624684379,0.7987732775999115,0.5292185199378769,0.6888339821295306,0.7416713729603259,0.7991755582000444,0.005023685894039475,1410773,18185060,19595833,1.953125e-06
