iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.032651515151515154,0.1766458077011379,0.16637878257827532,3.133280043327135,1.5385270084536178,1.6472630244174304,0.44317622535537476,0.588807504125532,0.643908688225587,0.7115239859876669,0.6891330626250831,0.814405360487064,0.8507317659234309,0.888614234420136,0.6724415025870597,0.7990954377961218,0.8366959706311994,0.8765962212326527,0.0005023685894039475,138164,1897738,2035902,1.953125e-07
2,0.048532558850504434,0.15945463859623135,0.15127356684440024,2.857785863880724,1.6117533536831925,1.703357585893065,0.4925906324424451,0.630882578237072,0.6807913538808652,0.7417515076391694,0.6738130486663663,0.8040378433660504,0.8419406250636104,0.8813579556176119,0.6605443824392433,0.7913598343959761,0.8301416658806254,0.8711363097529451,0.001004737178807895,281766,3715441,3997207,3.90625e-07
3,0.03642973161110681,0.17027213938195362,0.16065095752226338,2.97225978234823,1.5648533475867181,1.6658277267467456,0.4674496956344466,0.6139600426326368,0.6675083512757602,0.7319222598158786,0.6781610589981255,0.8096468186322874,0.8475994354921879,0.8872765696719888,0.6630784512508576,0.7956396628879809,0.8347086111025775,0.8761563904846753,0.0015071057682118426,421565,5528702,5950267,5.859375000000001e-07
4,0.026270136307311027,0.1649130982894493,0.1556732645664901,2.970939324638061,1.5897690204753496,1.6815486156471724,0.46859597837237466,0.6145670232705227,0.6670626075017934,0.7290067798440405,0.6742684112010036,0.8078380026131797,0.8460956779368501,0.8853921498149867,0.6606075975306744,0.7950008965393581,0.8342042572811803,0.875004995004995,0.00200947435761579,551214,7351003,7902217,7.8125e-07
5,0.031451612903225803,0.1557819017823284,0.14737545638833194,3.0428959347309394,1.5755280758811552,1.670859097665847,0.45817419761429296,0.6054092224052968,0.6587421507809356,0.7235556297977995,0.6739022774996816,0.8082182585803298,0.8468619171673192,0.8871413840470901,0.6598630648722261,0.7950197951112103,0.8346194061268982,0.876495504345437,0.0025118429470197376,682915,9243034,9925949,9.765625e-07
6,0.04233425414364641,0.18844896700585878,0.17659656438381,2.8665509846705546,1.500379638948742,1.6038612661666722,0.4856060455272254,0.6317682105584417,0.6829150162881578,0.7444384732257187,0.6943708009172191,0.8181508897090661,0.8538032797203632,0.8907318761862697,0.6785881420585499,0.8040603204618583,0.8408840915189711,0.8796720645437971,0.003014211536423685,833638,11085996,11919634,1.1718750000000001e-06
7,0.037571655501070514,0.17157427507670664,0.1608717722726436,2.922750419209633,1.54615216556149,1.6523484000746345,0.4701561561156082,0.6217821915866082,0.6756233079711857,0.7396925486595418,0.6810245062074598,0.8117773707435791,0.8492525688621098,0.8882324003363963,0.6647453524662107,0.7971096373912517,0.8358482934893874,0.8767650412894052,0.0035165801258276327,981759,12856527,13838286,1.3671875e-06
8,0.04683738235937842,0.14656429431446222,0.13902493570390248,2.7937152401065397,1.6067396350483223,1.6939540896052583,0.49355669203988084,0.6385607736155784,0.6899397880371458,0.7509052725585549,0.6709812235343481,0.8051967912726149,0.8443231694188185,0.8847728991724222,0.657971275484911,0.7929779288942141,0.8330027519176195,0.8749568334171511,0.00401894871523158,1125086,14667837,15792923,1.5625e-06
9,0.03799574128293851,0.18695678307387148,0.17473644723704027,2.666409560662727,1.5099286140781953,1.6058940920433782,0.5097198780917226,0.6552569909054482,0.7069101594278567,0.765903323336207,0.6927702884221559,0.8177455155617603,0.8535400968013283,0.8906080030652286,0.6775518897970845,0.804236585777032,0.8413496142272077,0.8802403370048122,0.004521317304635527,1289800,16484341,17774141,1.7578125000000002e-06
10,0.03325480246466111,0.16200182361699425,0.1544003474672892,2.9001930874985553,1.6018863702732302,1.6807618675779905,0.4791918123046907,0.6236256014285478,0.673765314726939,0.7349002165969478,0.6709194413136742,0.8045309250793546,0.8433341314364317,0.8839906712188627,0.659350143046351,0.7936146702949972,0.8331019482738409,0.8749942008236078,0.005023685894039475,1410762,18367974,19778736,1.953125e-06
11,0.06498623967975982,0.14725850252166042,0.13965189650723653,2.4447810509785075,1.6006046317571239,1.6761077812274596,0.5501954688351913,0.6872034615964642,0.7345103998700742,0.7901349140981172,0.6721201104540474,0.8052452471297388,0.8442737979283266,0.8845352280338846,0.6611414296674778,0.7946161973688403,0.8343901739674063,0.8760349700130936,0.005526054483443422,1583168,20110237,21693405,2.1484375e-06
12,0.03943260485950862,0.14068867581161953,0.13259862571623016,2.9440956191371583,1.6337289390033485,1.734227745126788,0.47239980169084644,0.6209685836551508,0.6741858887381276,0.7366532721010333,0.665629909466475,0.8010794630484864,0.8410755193124538,0.8824605033758811,0.6508885221687625,0.7873389323401366,0.8283436282599218,0.8713369735503662,0.00602842307284737,1736464,21966345,23702809,2.3437500000000002e-06
13,0.03863987635239567,0.15527326512103523,0.14646811287636707,2.6796423879058033,1.5693605319045685,1.6540528333774367,0.5073576370409792,0.6547032996274614,0.7065859499733901,0.764888238424694,0.6782389912360517,0.808985055328674,0.8469038730891538,0.8858856003361963,0.6652671468531257,0.7972733098576257,0.8362521418258633,0.876700520098192,0.006530791662251317,1886784,23796228,25683012,2.5390625000000003e-06
14,0.04253926701570681,0.18079926020438025,0.17061734685580784,2.766595386658068,1.4645043765507932,1.5590308405264286,0.4905343730173349,0.6394193051035932,0.6937844088332208,0.7576049064352619,0.6932426026405643,0.8232032696360736,0.8600475327187819,0.8976695942209098,0.678531591197033,0.8098656364753476,0.847981428038849,0.8875047714671463,0.007033160251655265,2033367,25669464,27702831,2.734375e-06
15,0.04551111111111111,0.18241702409225716,0.1740063196407783,2.582042488697081,1.4988887995347295,1.5665490802709625,0.5227226936808427,0.6656189808434677,0.7152631706196658,0.7739819314491106,0.6889192685585425,0.818156241057141,0.8551013014907712,0.8933984418123336,0.6785568743634104,0.8086455082340207,0.8463823622667639,0.8859527952657584,0.007535528841059212,2157450,27535478,29692928,2.9296875e-06
16,0.039515841936632254,0.17122889108851494,0.16110689706721001,2.8061844510455938,1.5627886601054077,1.656073056570412,0.485456961464639,0.6334912688079675,0.6876971397124948,0.7504060239185,0.6785021488790569,0.8094123850101358,0.8477363357600329,0.8873374968206197,0.6639826684245913,0.7961808549086277,0.8356993302791749,0.8770384892616515,0.00803789743046316,2306456,29367596,31674052,3.125e-06
17,0.03726060064088233,0.17774042132553583,0.16751904124322306,2.821324895664156,1.5120121094313745,1.6031796877145075,0.4858717679693002,0.6345344007358754,0.6869008436696035,0.7486741308190925,0.6874040025086092,0.8164514552455202,0.8537935740761307,0.8920675693582714,0.6734039393251079,0.8038140215212655,0.8421998517324094,0.8821062983772936,0.008540266019867107,2445610,31231577,33677187,3.3203125000000002e-06
18,0.057000433463372344,0.1828694785379248,0.17316925924045204,2.6603502394068843,1.458405661736848,1.545944365707984,0.5059318628798612,0.6572771938728755,0.7086514263962611,0.7684564468035612,0.6975437313341867,0.8247499681399846,0.8607080126553522,0.8976213035456041,0.6835799902498214,0.8125453668414815,0.8496268681635092,0.8882083969689171,0.009042634609271055,2587471,33036347,35623818,3.5156250000000003e-06
19,0.06389618922470433,0.20874883818547058,0.19903363271332222,2.664778083617721,1.3630209287962693,1.4467202352434236,0.5114435602529832,0.6536811210143979,0.7036229595334756,0.7622543544075617,0.7154177790174124,0.837206571834615,0.8714906164083357,0.9059096040695435,0.7022582533748557,0.8253663113803287,0.8606605284267174,0.8966415948423676,0.009545003198675003,2717282,34918622,37635904,3.7109375e-06
20,0.048839126253606265,0.18969997207348316,0.17838583094707816,2.6318283831094718,1.4571777250184006,1.5435110939233088,0.5063724095825499,0.6576035299749544,0.7104837758521406,0.7719114453610108,0.6953416904456913,0.823980128294175,0.8608546832095836,0.8985720505819249,0.6814833470708551,0.811778652908793,0.8498270089853568,0.889283206642855,0.01004737178807895,2861419,36739905,39601324,3.90625e-06
21,0.05285246834542609,0.19402794498558973,0.1830411946389233,2.5416372145655566,1.4121062263990534,1.5005981666125887,0.5264609298728303,0.671812199667812,0.7207972512076682,0.779380253832207,0.7040408128992531,0.8307678147357905,0.8662605687022161,0.9020079188564809,0.6901432139338138,0.8183277716753341,0.8548764478419676,0.8924109415326361,0.010549740377482898,3019161,38597749,41616910,4.101562500000001e-06
