iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.035330845960557376,0.1409613549256942,0.1315203375923104,3.0237958570353336,1.6173565538062933,1.7275296119454102,0.45394936818793696,0.6033190035752023,0.6613183377480568,0.7291675713231144,0.7168986843195475,0.8262891232218403,0.8522255515803872,0.8790647402832689,0.6962013995383483,0.808738683723018,0.8371988497444509,0.8672660239393518,0.0005023685894039475,138174,1617262,1755436,1.953125e-07
2,0.05671092011357532,0.12297256299154408,0.11697630358556724,2.710273230238696,1.6968227918595553,1.7855397306042287,0.5097135376773853,0.6493447714011169,0.7012686785410893,0.7618198782848469,0.6974009245333186,0.814841445268014,0.8421109799826608,0.8708898616531914,0.6810078436357201,0.800386556165285,0.8298094647875675,0.8613634193556627,0.001004737178807895,281788,3117911,3399699,3.90625e-07
3,0.041010931079928675,0.1487960843135707,0.13895900863429048,2.8097371605841257,1.6274104435779506,1.728436346404761,0.488801779697995,0.6362992582207312,0.6911995078648632,0.7536033877209423,0.712008180840477,0.8241969237523449,0.8504225942178644,0.877584537247787,0.6929117233427702,0.8081213104841918,0.8368002389196718,0.8669773111989925,0.0015071057682118426,421587,4612134,5033721,5.859375000000001e-07
4,0.040904556035916195,0.13032592089628248,0.12216312056737588,2.7656235538990748,1.644928896371386,1.7400255935068234,0.4941500397195721,0.6405571537648755,0.6940667443062186,0.7559367263360044,0.7058924669556185,0.8220410502561163,0.8493305154565318,0.8779517856503206,0.6878956466333532,0.8066160212755218,0.83613403788506,0.8675812466527566,0.00200947435761579,551246,6007984,6559230,7.8125e-07
5,0.03775262732417138,0.13278289217093112,0.12496118379305224,2.9970707203248246,1.6126320192045185,1.7158596896944966,0.4633601870904549,0.6109976385904435,0.6666767906090311,0.7324166103522373,0.7107596966795866,0.8254303854186816,0.8518344176115844,0.8793702698004227,0.6923028991935324,0.809433014247009,0.8380210643423723,0.8684070551328827,0.0025118429470197376,682947,7641636,8324583,9.765625e-07
6,0.0472636815920398,0.14955912531665552,0.13964187084823276,2.799655572328619,1.6208636141678183,1.7218458747264873,0.4933066217345734,0.6396454963979143,0.6938359890146338,0.7550847120321601,0.7151982028151915,0.8264226469168727,0.8520233255879909,0.8786153915046696,0.6961777419916138,0.8104121815495788,0.8384635680549348,0.8680263892632409,0.003014211536423685,833693,9249484,10083177,1.1718750000000001e-06
7,0.046976615469766156,0.13972162321113507,0.13039555032322192,2.78927933074986,1.6018014669401412,1.709650259957342,0.4870950101606119,0.6383159714017593,0.6941014440896294,0.757893884054253,0.7136683162463898,0.8266934652997112,0.8528599658824125,0.8800378333642982,0.6930576504517606,0.8095573532085075,0.8384181991480665,0.8689267798975125,0.0035165801258276327,981814,10729659,11711473,1.3671875e-06
8,0.0493872191421068,0.13425565081839438,0.12587110880359192,2.6787112508719946,1.6355485898775917,1.7286834162929836,0.5074642483432159,0.654147192186955,0.7078479246599233,0.769271014998256,0.7086004540995864,0.8223935575478623,0.8492252183039175,0.877294334730387,0.6905931875242008,0.8073308435029166,0.8365680310770807,0.8676232528510224,0.00401894871523158,1125164,12187489,13312653,1.5625e-06
9,0.0455090618336887,0.1205317887365984,0.1125307903948373,2.5439073351353154,1.6490522581380553,1.7389333599742787,0.5255090271116885,0.6717336668164103,0.7253742578585044,0.7832582591697729,0.7082916874194181,0.8225119107875442,0.8490819477010445,0.8768557003623952,0.6900267824915907,0.8074451080247381,0.8367202215394322,0.8675027980575869,0.004521317304635527,1289890,13671228,14961118,1.7578125000000002e-06
10,0.05254052085230377,0.11710793473600764,0.11194645844952593,2.662276104001705,1.6400972334907902,1.716890114260885,0.507538062255137,0.652678822343081,0.7066437439042533,0.7662622121567785,0.705224579511345,0.8216059299759586,0.8486254269001293,0.8768345712066394,0.6903737527964866,0.8089155996604788,0.837959320783631,0.8685280313045055,0.005023685894039475,1410876,15160745,16571621,1.953125e-06
11,0.07314774084082197,0.13067844028676343,0.12376986840184682,2.345692103962117,1.631761571753928,1.7106754703608047,0.5618878056984452,0.7009911095903917,0.7497810743883131,0.8040108331931822,0.7096310345175194,0.8236264060679636,0.8505481702935336,0.8789316259625202,0.6933133064529042,0.8100817621946728,0.8394187934551813,0.8706568838131351,0.005526054483443422,1583309,16549547,18132856,2.1484375e-06
12,0.04362668123165153,0.11759379951451385,0.11010312747565533,2.8161694581640244,1.7078925860179865,1.8102165008490292,0.486280239239755,0.6366073350334923,0.6909450231217266,0.7547075052667966,0.6986387228032462,0.8160396152313735,0.8431592644020189,0.871733642899028,0.6790752367578727,0.7995094495848888,0.8291365555597616,0.8609526316010847,0.00602842307284737,1736628,18060481,19797109,2.3437500000000002e-06
13,0.04657332350773766,0.10959461549104345,0.10342222059201116,2.551593631502794,1.6548612053237475,1.737206904994522,0.5232637040979244,0.672086216072379,0.7241351782863226,0.7822977647684939,0.7029677591688089,0.8194906033663429,0.8466278897995884,0.8751877741570147,0.6864239085899907,0.8059203132741596,0.8353510095117708,0.8666361672665495,0.006530791662251317,1886948,19542980,21429928,2.5390625000000003e-06
