iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.05294788893115253,0.19751349488916964,0.18749499083657037,2.9449137367435627,1.5877839516726473,1.6796044633579852,0.4693842100691931,0.6141831446686546,0.6668886251121855,0.73142786833039,0.6839903909938378,0.8047416806111923,0.840789087978202,0.8788632803712294,0.6694920848358902,0.7918679787299064,0.8290407676792372,0.8689028787971396,0.0005023685894039475,138164,1906961,2045125,1.953125e-07
2,0.05896787056207346,0.17276051188299818,0.1645490733306758,2.740630910977039,1.665581815545221,1.743903184320475,0.5075764961490787,0.6472333254411499,0.6968983718889709,0.7544741716689183,0.6685273443747616,0.7943092302242039,0.8318342923301905,0.8721574672657372,0.6568278925727556,0.7836183424269988,0.8220258550652451,0.8636031162951501,0.001004737178807895,281766,3738910,4020676,3.90625e-07
3,0.052578440509474994,0.17203535374691073,0.16360320690307012,2.8131356223935806,1.6838047498380802,1.7639246998624674,0.490561448937403,0.636356483236647,0.6884312477199408,0.7490110801937067,0.6621217174458476,0.7905072686490057,0.8293894727204955,0.8711163572395483,0.6499767318562915,0.7795947241319767,0.8194108475630227,0.8624723580022918,0.0015071057682118426,421565,5573914,5995479,5.859375000000001e-07
4,0.0470138715840186,0.187413006325211,0.1782658096529314,2.8517255001966837,1.627456110987736,1.7081745714645353,0.4867295544122978,0.6305563482942406,0.6815324452946031,0.7415946131478067,0.6713935929776151,0.8000300548664655,0.8380118923621982,0.8780349562053771,0.6592176128648368,0.7888556621861476,0.8276942872109404,0.8690386463848161,0.00200947435761579,551214,7410555,7961769,7.8125e-07
5,0.04472069744914434,0.17463694222722317,0.1659586101314962,2.888275454438463,1.6600225417905303,1.7395499857028949,0.4801254356458949,0.6263809690131434,0.6789849735385457,0.7405182952293453,0.6657855643502361,0.7943048081711384,0.8328985604693235,0.8738892542638558,0.6537722495635944,0.7834391368282141,0.822939435790028,0.8652593598139313,0.0025118429470197376,682915,9314231,9997146,9.765625e-07
6,0.05311634349030471,0.18231632288137134,0.17203875264235238,2.75629406365485,1.6238394318973983,1.7081656779525787,0.5007994798405021,0.6470147223715027,0.6984534543500328,0.7579865050456798,0.675834840245721,0.7999763854158917,0.8370027593479787,0.8762568835434384,0.6626801475336187,0.7884806301043775,0.8265901574114103,0.8673683339242058,0.003014211536423685,833638,11169017,12002655,1.1718750000000001e-06
7,0.04890551399279579,0.18461865557931043,0.17407546573872887,2.8058208639389424,1.6174707127527184,1.708008908484601,0.4860013097400099,0.6363243564383173,0.6908000891163306,0.7530127395845289,0.6720040081612226,0.7999469442507798,0.8377179563059154,0.8775560248091359,0.6578204956601423,0.7874700122525046,0.8265148317082462,0.8680590591312047,0.0035165801258276327,981759,12963356,13945115,1.3671875e-06
8,0.06544789762340036,0.1658256502157561,0.15844464945656625,2.63071554824152,1.6775663884948941,1.747071607199999,0.5172158769806108,0.661096653107928,0.7100476532684002,0.7683409266921096,0.6639139470092777,0.7929122178937935,0.831739667972512,0.8730496691303773,0.6532173137991276,0.783300757104789,0.8228663757360176,0.8654147287965381,0.00401894871523158,1125086,14785675,15910761,1.5625e-06
9,0.05228801705188836,0.1966063534129953,0.18505217180296044,2.553815913492481,1.6092575373291322,1.6869297629965092,0.5265186930072732,0.671806889517588,0.7223126145925665,0.7789623225712446,0.6797829355512719,0.8018174693267209,0.8383231667492855,0.8770582072234213,0.6671251167643819,0.7910801288206334,0.8287420634065065,0.8689566441252286,0.004521317304635527,1289800,16615362,17905162,1.7578125000000002e-06
10,0.05206152725948849,0.16701228356450004,0.16038536468202078,2.739576788578232,1.7116875932754227,1.7724899768132363,0.49946264116003375,0.6439708338155784,0.6945487012450191,0.7519386253534168,0.6557469546391351,0.786811868225855,0.8266055291680611,0.8693921466543453,0.6464087933844127,0.7782769578217287,0.8187149870753807,0.8623741683465626,0.005023685894039475,1410762,18518831,19929593,1.953125e-06
11,0.0797047047047047,0.16961018594578448,0.1615879560927535,2.333604163283183,1.6692687233662094,1.7282181250527615,0.5669524262496665,0.7027829657900537,0.7484078280338271,0.8018398431609108,0.6629710024185976,0.7917082988096951,0.8306128611618027,0.8727498028100772,0.6543975414102399,0.7837681907002205,0.8232728059940038,0.866418280323358,0.005526054483443422,1583168,20277288,21860456,2.1484375e-06
12,0.05439302024401881,0.15746453253622056,0.14949216475126492,2.777209410225967,1.7302473923378392,1.8094877531744176,0.4939267821730508,0.6434088299759941,0.6956998225654942,0.7557013881640747,0.6518646884678424,0.7844383091982616,0.8253260542960392,0.8682039888113888,0.6399202362915993,0.7737725994295968,0.815522743855782,0.8596956961243462,0.00602842307284737,1736464,22150979,23887443,2.3437500000000002e-06
13,0.055198403901573934,0.17114848779556452,0.16259875145019612,2.568979250515566,1.6957574304228684,1.7615969987801132,0.5244212346993081,0.6702501330494944,0.7210018626929218,0.7769691325172964,0.6619296078986593,0.7886341991892786,0.8274252746485241,0.8684599920844485,0.6515805953686871,0.7797245004173098,0.819415746223559,0.8615743019260338,0.006530791662251317,1886784,23997976,25884760,2.5390625000000003e-06
14,0.06769500694495212,0.1901648206296079,0.1813550008269357,2.62237376818935,1.5570267422159136,1.6337882519458833,0.5137976436558127,0.6605268005157487,0.7121903631389724,0.7719994815224139,0.6821057394131884,0.8081194405992115,0.845235584604903,0.8842719665869078,0.6700033749710577,0.7975066420215292,0.8356688329271595,0.8761988996024598,0.007033160251655265,2033367,25889929,27923296,2.734375e-06
15,0.055039313795568263,0.1775196239663156,0.17013257368248055,2.4840379964922668,1.6390546414678338,1.6910196290552526,0.5345534843612743,0.6782073289652893,0.727706454550583,0.7849020413755309,0.6682012826334074,0.796414113433623,0.8350292266450023,0.8760746653849548,0.6599298419223693,0.7890983145801214,0.8283870375644483,0.8704320063683942,0.007535528841059212,2157450,27770747,29928197,2.9296875e-06
16,0.050203527815468114,0.19107285452581146,0.18049492909418638,2.676737325174823,1.6377564953147226,1.714661702502835,0.503456236661611,0.6517053004576997,0.7043072091056736,0.7655933318121418,0.6699896966450375,0.796596220807161,0.8347342944037879,0.8754422666516904,0.6575876011455246,0.7858058905554195,0.8250211162367618,0.8672615864416268,0.00803789743046316,2306456,29622571,31929027,3.125e-06
17,0.049342105263157895,0.18739993967377433,0.1775799101515788,2.7148089133711566,1.597054404181515,1.6742045438627484,0.5022349339580608,0.6490147606249191,0.699987064690918,0.7599062908719836,0.6757581567762758,0.8022715410262146,0.8403615292024841,0.8801308066766795,0.6637851099847575,0.7916968722697193,0.8306757361159182,0.8718353535964585,0.008540266019867107,2445610,31500151,33945761,3.3203125000000002e-06
18,0.07394519356241844,0.2032202743902439,0.19354199246712628,2.501379679096087,1.5002615785351967,1.5732522043162365,0.5288980057944044,0.6775153142865199,0.7287908586574182,0.7860088396388014,0.6928621361517499,0.8156731937909358,0.8513368042070578,0.8887901864491518,0.6810551327469115,0.8057244900704407,0.8425123107449797,0.881388935278552,0.009042634609271055,2587471,33328317,35915788,3.5156250000000003e-06
19,0.08242574257425743,0.221490119587776,0.2122894174460881,2.5173988078100096,1.4158528536639525,1.4862881863287447,0.5349084438144688,0.6745499225797505,0.7219573071619508,0.7778000323547312,0.7101098405349767,0.826996799289177,0.8612986571171838,0.8966057885375567,0.6988666362142505,0.8172138214420603,0.8523567006191333,0.8889816632951492,0.009545003198675003,2717282,35221334,37938616,3.7109375e-06
20,0.06912474155754653,0.20736088850226117,0.19649540660088466,2.498551792847257,1.524633645644715,1.5952417789776847,0.5274703927513408,0.6766895384252481,0.7276965664610753,0.7863005335201926,0.6875981590185654,0.8123202294512266,0.8489848235307604,0.8877936991531508,0.6759177443564883,0.8024267378412601,0.8401375313387848,0.8803903468951703,0.01004737178807895,2861419,37053183,39914602,3.90625e-06
21,0.07136739937196689,0.19836094465985196,0.1888324597376497,2.43700198048871,1.4866578254646055,1.5609304964368729,0.5416312713164535,0.6849285542214503,0.7332796591903235,0.7895677752279038,0.6918063359336766,0.8176623111050048,0.8538173603666788,0.8915486979911377,0.6801688567974293,0.8073764069148165,0.8444765621046871,0.8836459155686537,0.010549740377482898,3019161,38931012,41950173,4.101562500000001e-06
22,0.0653497697905837,0.1908957080418583,0.18205822936494892,2.4268962304225106,1.507759159665764,1.5720704589791454,0.5406834969678442,0.6871511954443015,0.7372937387582735,0.7946380963891397,0.686219515381412,0.8139241862992311,0.8518203723659802,0.8912042307481072,0.6760656365447266,0.8050793820855604,0.8438299822625382,0.8844669238003404,0.011052108966886845,3159820,40806425,43966245,4.296875e-06
23,0.07912087912087912,0.22535833323518673,0.21428765744443537,2.2606283616420386,1.3757292507561223,1.444675002764738,0.5657057831817718,0.7090272810871564,0.758052774088076,0.8108843363645653,0.7128309275916767,0.8327994726609976,0.8670899823375929,0.9022213023613296,0.7013800079028005,0.8231661402274913,0.8586034906520804,0.8951124409464474,0.011554477556290793,3316412,42661778,45978190,4.4921875e-06
