iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.03665956799513234,0.18035742018503317,0.1707033189869227,3.041934850748023,1.7239445635375465,1.8132485712975968,0.45380127963869027,0.6021539619582525,0.656343186358241,0.7230103355432674,0.6603622203075994,0.7858566588409517,0.8237184714317702,0.8644466247605483,0.6464074323085386,0.773446121875191,0.8124109773241245,0.8548915102988814,0.0005023685894039475,138164,1906961,2045125,1.953125e-07
2,0.04910748486937869,0.14949679558947235,0.14224616938878598,2.775258695691912,1.7851404731722893,1.857098914271258,0.5008147518836785,0.6419827021907772,0.691926296291138,0.7522248993746605,0.6474809069466454,0.7777536383381852,0.8172367243847946,0.8601642294627198,0.636819803690211,0.7678845041206226,0.808127960250077,0.8523181633883408,0.001004737178807895,281766,3738910,4020676,3.90625e-07
3,0.04229607250755287,0.16790872088193762,0.15908163377858175,2.8616508958844498,1.7782494647746698,1.8554485284418238,0.48321518751922404,0.6310059442485283,0.6842180559231468,0.7452485353972489,0.6484405483584776,0.7773939457352681,0.8169284644611129,0.8601098417224159,0.6367440195300493,0.7670309392886278,0.8075337134893962,0.8519786530605837,0.0015071057682118426,421565,5573914,5995479,5.859375000000001e-07
4,0.028854149343089972,0.1803375310745673,0.17052182406513114,2.925532170032162,1.6762937227780903,1.758272245097366,0.4736018017879043,0.6216553926370431,0.6734490817514983,0.7339354719280519,0.663418163919895,0.7930613549408948,0.8316960146267017,0.8725858782418556,0.6509024609798147,0.781759557338948,0.8212618687986004,0.8634438460247471,0.00200947435761579,551214,7410555,7961769,7.8125e-07
5,0.029722962603989985,0.15779705137334096,0.14926820234327765,2.9776520299769924,1.7821911704479918,1.8602982626191618,0.4667238669410255,0.6154926690002354,0.6691672804306725,0.7319154752051996,0.64790804737781,0.778025252196277,0.8179847831248594,0.8608823140072155,0.6361843530707088,0.7675084271857253,0.8083554054113808,0.8525373923356705,0.0025118429470197376,682915,9314231,9997146,9.765625e-07
6,0.04520908335641097,0.18571941584869522,0.17465917673195552,2.8267023519552423,1.7312480551791074,1.8135097537894365,0.4934681501827856,0.6388606914671284,0.6896226853234079,0.7500580535153891,0.6618041110942179,0.7845433381532964,0.8225779146489137,0.8633421861066451,0.6491529083140489,0.7735946335817989,0.8125857325995546,0.8548283752404003,0.003014211536423685,833638,11169017,12002655,1.1718750000000001e-06
7,0.04272733578414372,0.18170803392555093,0.1707649895861532,2.895437761821417,1.6727433184265568,1.7661406517058258,0.47547613100100594,0.6259004462567765,0.6802276517171771,0.7432166944592596,0.6685130290318607,0.7930196022044886,0.8300438211508527,0.8699833197628765,0.6537931283012263,0.7802760417202929,0.8186196884363127,0.8603168147606644,0.0035165801258276327,981759,12963356,13945115,1.3671875e-06
8,0.0494702228717574,0.16216345121980302,0.1537685060565276,2.719512719929776,1.726506196182928,1.7992213719910657,0.5025570897318719,0.6496821952597905,0.701263544203116,0.762277868091846,0.6588884822031708,0.7856248000487291,0.8243024410106025,0.8658001151280319,0.647489425868137,0.7757124121026878,0.8153309395486268,0.8582516892665312,0.00401894871523158,1125086,14785675,15910761,1.5625e-06
9,0.043478260869565216,0.1967644096774949,0.1845117228526955,2.6044938120014103,1.6104794665699669,1.6926089783661864,0.5188022876015397,0.6643029736391564,0.7155615187537185,0.7739475697269206,0.6806202372318325,0.8011605263632523,0.8371677778767626,0.8759137491822372,0.6672559831247578,0.7898577066497661,0.8271245351361135,0.8674925453807936,0.004521317304635527,1289800,16615362,17905162,1.7578125000000002e-06
10,0.041609635915685735,0.15352470110534627,0.14710978357923382,2.8166840361022483,1.7791518632395642,1.8409977683235417,0.48902134554653526,0.6336122087928441,0.6850663844843835,0.7448289545477091,0.6462395762683816,0.7778382521596097,0.8182429028263659,0.8617870845283007,0.6368456124214655,0.7692205859325411,0.8102854579879483,0.854798706401947,0.005023685894039475,1410762,18518831,19929593,1.953125e-06
11,0.0716706413957575,0.16948857778164247,0.16079043514653818,2.4073775619033015,1.7652870078133482,1.822239123937069,0.5556593158010742,0.6937345568019675,0.7400902520793939,0.7943401041727086,0.6518043944207905,0.7783556834201804,0.8175650584574999,0.8598032252139234,0.6432196380582155,0.7707998962122119,0.8106473633810374,0.8539580488102988,0.005526054483443422,1583168,20277288,21860456,2.1484375e-06
12,0.04077736106375725,0.14760374649620564,0.13945975523776452,2.893132276567879,1.8168504403123988,1.8986562880182523,0.4760724350276589,0.6270157081724246,0.6814398288278886,0.7438028389520926,0.6372822413087323,0.7722356567865246,0.813927696722672,0.8588011577149061,0.6250903434506486,0.7612530322098761,0.8039079678360048,0.8501041200560241,0.00602842307284737,1736464,22150979,23887443,2.3437500000000002e-06
13,0.04454458151732289,0.16618462710371587,0.15722497478602568,2.6241923479909524,1.695629854247866,1.7659801756869333,0.5151809473124002,0.6632317722192655,0.7140433741351783,0.7720995210218201,0.66175581227257,0.7885589418932462,0.8271810945009657,0.8684578264068648,0.6507244468454432,0.7791266984659921,0.8186662407619822,0.8612058075908832,0.006530791662251317,1886784,23997976,25884760,2.5390625000000003e-06
14,0.05262772654077002,0.15556005671460402,0.148118928782268,2.6988274667765006,1.6892360760117997,1.762399529230169,0.5003308705647994,0.6497956788986444,0.7030010301330987,0.7650546106983757,0.6572145291135668,0.7880608027789274,0.8281796640825644,0.8712563155638644,0.6459336504236374,0.7781187087203758,0.8191785673640298,0.86361977419089,0.007033160251655265,2033367,25889929,27923296,2.734375e-06
15,0.04446031604321043,0.17730304244338133,0.16919698905462732,2.543137519341892,1.678281809160795,1.7320320227158368,0.525833514663572,0.6718245045654925,0.7222826656350991,0.7789221730615797,0.6640903053884002,0.7918235576222686,0.8304104916052484,0.871508567017117,0.6555336148767446,0.7843968355544738,0.8237184778699796,0.8657784100062796,0.007535528841059212,2157450,27770747,29928197,2.9296875e-06
16,0.039697272597458234,0.17226832848967852,0.16211745701577748,2.7687004581610783,1.6575353638240606,1.7405552262217416,0.491000362401514,0.6404037421311893,0.6939519213991383,0.7568420063621599,0.6696295112278489,0.7944124279629166,0.8318771114317559,0.8720277952980413,0.6563266244508529,0.7829430786223717,0.8216055337035131,0.8634496683876192,0.00803789743046316,2306456,29622571,31929027,3.125e-06
17,0.04142056074766355,0.18606336715676122,0.17584837487238966,2.747634281308836,1.6109734697764237,1.6893732484055903,0.49633499576009316,0.6445664515572674,0.6964154821277146,0.7578725728329764,0.6747723132969035,0.8007786618945664,0.8385426985800871,0.8784632345892053,0.6624601955438844,0.7900000694191698,0.8287359661710468,0.8701425175556122,0.008540266019867107,2445610,31500151,33945761,3.3203125000000002e-06
18,0.060162365903160334,0.19366771197040744,0.18370155899561857,2.5650999261601157,1.551791187819857,1.6246566195539474,0.517273951262151,0.6698105892387619,0.721995474443293,0.7806021387132475,0.685342031303503,0.8082575652320413,0.8446574326401431,0.8831594067497153,0.6732395038240593,0.7982880437679281,0.8358245851452797,0.875774291418341,0.009042634609271055,2587471,33328317,35915788,3.5156250000000003e-06
19,0.06491155902920609,0.1755382039965817,0.1683071404354911,2.582875295622099,1.5820810196765271,1.6460973279117164,0.5228909722596699,0.6665767924135859,0.7144386839327946,0.7720917333662016,0.6784212714413024,0.8043688989586464,0.8421255593584209,0.8816101493013534,0.6684404210343143,0.7955263621029568,0.8339315057928801,0.8745820208144242,0.009545003198675003,2717282,35221334,37938616,3.7109375e-06
20,0.055494354172404295,0.1863240485994977,0.17596782025249405,2.5629605806888582,1.616549655097459,1.685627232429784,0.5170566891221546,0.6678229739761476,0.7195029728660927,0.779633265573725,0.6734840044130275,0.7989676004954557,0.8364843390475962,0.8767447535249904,0.6620735167151994,0.7894013419123415,0.8279512101806389,0.8696610198655254,0.01004737178807895,2861419,37053183,39914602,3.90625e-06
21,0.05726306781715753,0.16579095569579833,0.15772621535519155,2.4960382796750378,1.636641167057146,1.7034823628726299,0.5307020324327065,0.6772641401782657,0.7269655513433327,0.784153871511709,0.6662401102549806,0.7967088590068637,0.8355744852167051,0.876136219006097,0.6557368915159432,0.7874527589555953,0.8271580799687164,0.8690082537037519,0.010549740377482898,3019161,38931012,41950173,4.101562500000001e-06
22,0.055807050092764376,0.1860004652139133,0.17687078417619045,2.4595850492147684,1.558036346735693,1.6213992791428093,0.533104884863393,0.6830917324877896,0.7330707597807463,0.7913464477921782,0.6791234784018241,0.8079724306059518,0.8462034762476318,0.8859744493612873,0.6689359308596121,0.7992596494569638,0.8383103381228448,0.8793723636854239,0.011052108966886845,3159820,40806425,43966245,4.296875e-06
