iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.05040152963671128,0.021622094257841288,0.023812275369520748,2.2768717396083638,5.532705622723531,5.314859592904463,0.5940476535132162,0.7415607538866854,0.7895037781187574,0.8418039431400365,0.3495008899837331,0.4539583673430823,0.49501519874903616,0.545334579817972,0.36603703404616655,0.47340591360353945,0.5149283863247612,0.5653817071290661,0.0005023685894039475,138164,1905091,2043255,1.953125e-07
2,0.06462246071291683,0.019144136823698425,0.0227156880970514,2.0730762547699633,5.5822978005233574,5.327819450149234,0.6237857486055693,0.7679430668421455,0.8128224947251875,0.8598954089981686,0.3397727620304382,0.44655013829596646,0.48878775829448085,0.5406864330127547,0.3604296459341097,0.4699257468992835,0.5123555113466295,0.5639031979834517,0.001004737178807895,281771,3735947,4017718,3.90625e-07
3,0.057937247592420006,0.017224646627362696,0.02042978668988741,2.078696160424967,5.516721455250408,5.273696583241426,0.6240244923068119,0.7695334015264773,0.8140401576549189,0.8621663960400289,0.3485781627675515,0.45690684778685564,0.49884667126029464,0.549441655456027,0.3681406245316673,0.4791098846333022,0.5212320141189452,0.5716516656260684,0.0015071057682118426,421570,5564567,5986137,5.859375000000001e-07
4,0.05025794641371276,0.02007719523962689,0.02225967025809266,2.1543130695666757,5.527973507276336,5.3056539831567475,0.6122453701918256,0.7569977400519865,0.8015102314711259,0.8504346350531049,0.34974844125170923,0.4555454146957415,0.4971491098942079,0.547810882778203,0.3670782299536667,0.4754470002999267,0.5172427313598597,0.5677898048337596,0.00200947435761579,551219,7398731,7949950,7.8125e-07
5,0.06291497975708502,0.01726244457879887,0.020571776084579354,2.136166345018639,5.552867497339656,5.330785807990505,0.621914646460812,0.7635353159569056,0.8070472473825269,0.8538998261344914,0.3469443605318805,0.4529736449056536,0.4944666827357765,0.5450306979642403,0.36476892585379633,0.47310537213368986,0.5147292819256662,0.5650527084603736,0.0025118429470197376,682930,9298857,9981787,9.765625e-07
6,0.0793584379358438,0.02136285669733354,0.026325180814617433,1.9521054408413645,5.425286866792076,5.163613176034592,0.6456618217761355,0.7893169168717619,0.8309440571038125,0.8745480718839349,0.36323692895981036,0.47030872181296746,0.51100932610661,0.5607602766687285,0.38452185433774544,0.4943507443098729,0.5351211768970215,0.5844088642243803,0.003014211536423685,833673,11148289,11981962,1.1718750000000001e-06
7,0.06161861757554706,0.01805503916925947,0.021810478577395872,2.0728186594490317,5.504940487808278,5.243699281323368,0.6207425010633199,0.7701473795072947,0.8158667575833272,0.863625009282951,0.35072397496131275,0.4577746796971936,0.4997058372485327,0.5501362071128832,0.3713258739039821,0.4816081213755817,0.5238283129333977,0.5740548052742788,0.0035165801258276327,981794,12941514,13923308,1.3671875e-06
8,0.08068889703187981,0.016788903371398555,0.02199951112197507,1.9123037104401135,5.549975519346926,5.285262726654733,0.6518869438417046,0.7912186817557055,0.8334926426981657,0.8769806107711736,0.34409264330624095,0.45143670188950813,0.4933129705572937,0.5448864619585072,0.3665586700630767,0.47623752191081675,0.5181428182937623,0.5691261441749565,0.00401894871523158,1125121,14761829,15886950,1.5625e-06
9,0.0650531523701277,0.016587308795101004,0.020889057211162923,1.8425976474753218,5.4796893962015085,5.177682991722242,0.656865840183591,0.79938560170963,0.8417074444188107,0.8845149774761101,0.3529968030813146,0.4622382813891118,0.5042655716238539,0.5546541602404127,0.3781494530654417,0.4901455292679213,0.5321972009775321,0.5819582704535735,0.004521317304635527,1289835,16587024,17876859,1.7578125000000002e-06
10,0.06245427944403804,0.012784936200600096,0.015981132407554076,2.0085535214600454,5.601675178151963,5.386084894799982,0.6371219072654978,0.7804726830840959,0.8231117063049211,0.8663045904322595,0.33554506862734773,0.44404843415882783,0.48690444840045083,0.5391428691814227,0.3536085092856163,0.46419911775875666,0.5070421349663725,0.558738758455142,0.005023685894039475,1410804,18485684,19896488,1.953125e-06
11,0.08583825933844799,0.016956208025753455,0.023818010142507864,1.753348453794356,5.456345236221602,5.12421362798052,0.6699629960444048,0.8099458280650064,0.8496061804725834,0.8903221316134421,0.35642248039832886,0.46432896468837637,0.5061111429061982,0.5564751330624392,0.3845822867364618,0.49536962276672464,0.536961234850608,0.5864587120789868,0.005526054483443422,1583218,20232984,21816202,2.1484375e-06
