iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.07880268784361637,0.1529040972534894,0.14791657924552054,2.6127838508493517,1.8223215457408402,1.8761968476865714,0.5161691902376886,0.6588981210735069,0.7105830751860108,0.7692524825569613,0.6382049763996223,0.7707079484058668,0.8121073267885395,0.8568214032693904,0.6299605158608887,0.763154330419901,0.8052485789377177,0.8509054458773914,0.0005023685894039475,138164,1906961,2045125,1.953125e-07
2,0.07993236492198909,0.13248974635107577,0.12892883815213912,2.4612425559227926,1.9786434697588478,2.013537591854118,0.5471720449575911,0.6848024400774363,0.731090096238214,0.7859988022450941,0.6096725400106663,0.7491076443721959,0.7934407562655947,0.8423307635747501,0.6051294044041384,0.7444333251837082,0.7889085121062428,0.8382360161797898,0.001004737178807895,281766,3738910,4020676,3.90625e-07
3,0.10170685875352334,0.14427098674521355,0.1413893868868457,2.366977851907024,1.8435213795004002,1.8804196347369837,0.5577722301304016,0.6969649282183706,0.7435961630626828,0.7966079871815964,0.6353855359443358,0.7688833375840053,0.8101508225595149,0.8549599891880345,0.6298911840826654,0.7637921352155126,0.8054393273658182,0.8508291713148096,0.0015071057682118426,421565,5573914,5995479,5.859375000000001e-07
4,0.07120846173065712,0.14246211887982715,0.1380674959323991,2.5169079712338704,1.8811889348884723,1.923597302852073,0.5336022645758933,0.6758247267622581,0.7244097524855572,0.7789570301352112,0.6251009315375188,0.7632890695568704,0.8066519259888024,0.8531988559549744,0.6190678892737084,0.7575220338810653,0.8012292184774372,0.8483036581582575,0.00200947435761579,551214,7410555,7961769,7.8125e-07
5,0.07990904661361052,0.13126465833276407,0.12798701125868356,2.5610822229424954,1.9134161436216046,1.955981845592978,0.5284394195943842,0.6710275548401303,0.7195996993189118,0.7766455835566928,0.6195702419949614,0.7572312725484799,0.800494937163677,0.84795259277314,0.6136735356644003,0.7516533792019857,0.7952605340435703,0.8433386050839722,0.0025118429470197376,682915,9314231,9997146,9.765625e-07
6,0.10418559150303962,0.1480551847958328,0.14473562316423896,2.3038420049735295,1.8230979186244396,1.8594672731772828,0.5700523476841624,0.7086443343086324,0.7543374269355042,0.8052254798537715,0.6366680576627168,0.7717380873049505,0.8135353620309836,0.8584418903312835,0.6316615881554258,0.7669963086677746,0.8090863715894568,0.8544424383036925,0.003014211536423685,833638,11169017,12002655,1.1718750000000001e-06
7,0.08724925383494135,0.14055930952910728,0.13650486591052777,2.446735138628217,1.8509166123465253,1.896767368279141,0.5423808912983304,0.6875594952775096,0.7363439350260935,0.7918053483300815,0.6301813648368564,0.7675077006072989,0.8099082726285278,0.8557569110407788,0.6234861979139854,0.7614113031928585,0.8042986728169434,0.8508803270080207,0.0035165801258276327,981759,12963356,13945115,1.3671875e-06
8,0.11975563079640807,0.13534492441753915,0.13427850153055917,2.2172821003827785,1.9180063780511258,1.9406734696729473,0.5834978754875215,0.7159711708191757,0.7603382475039595,0.8108590844711743,0.6185141020864074,0.7558610759148097,0.7996684444381034,0.8475568767049019,0.6159608596868409,0.7529524644824145,0.7968006446735577,0.8448810213029203,0.00401894871523158,1125086,14785675,15910761,1.5625e-06
9,0.09832874689576482,0.15031936252623437,0.14635221280726146,2.1305749568190953,1.8143715846275905,1.8402543193106604,0.5918015469237587,0.7297679614361864,0.7744879002392024,0.8238947509015627,0.6378462545779688,0.7727217824688047,0.8143026648820263,0.8593770409911641,0.6340435047916643,0.7691743034625433,0.811014434910532,0.8564466223191826,0.004521317304635527,1289800,16615362,17905162,1.7578125000000002e-06
10,0.09460078833990283,0.13237011091652073,0.13027829824171402,2.378886325095899,1.9280946023746646,1.9551986922498212,0.5552239546303798,0.6941188141730461,0.740447413237215,0.792934971313305,0.6168448238453056,0.7547714199705905,0.7985961420963514,0.8469095110033313,0.6131629084913243,0.7511473594308722,0.7951216909837875,0.8436844723282739,0.005023685894039475,1410762,18518831,19929593,1.953125e-06
