iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.06721411192214112,0.16428485517784314,0.15787647112862233,2.680258181626547,1.6721352491838322,1.7411771869114996,0.5049072117194059,0.6506832459975102,0.7013331982281926,0.7625864914159983,0.6571302255632758,0.7936870105357009,0.8346041445130993,0.8777555173580336,0.646799796846803,0.783982234901287,0.8255598746894497,0.8699397122258341,0.0005023685894039475,138164,1897738,2035902,1.953125e-07
2,0.07222179673738224,0.14145484901695501,0.13670510319994855,2.3472682418246253,1.7321546937003058,1.777525940955128,0.562742858734558,0.7000111419061016,0.7467305469283158,0.801103048704057,0.6447180865080819,0.7858357498447216,0.8281105329088415,0.8725171273854969,0.6387160589505457,0.7795518799982665,0.8221520875131609,0.8672883615755836,0.001004737178807895,281766,3715441,3997207,3.90625e-07
3,0.08089887640449438,0.1589975956000071,0.15356897640822828,2.3526153369078115,1.6476587149133533,1.697842464197208,0.558766514781937,0.6984599317591685,0.7457778667944692,0.8006566570576328,0.6591356677279222,0.796661374176139,0.8375920510064464,0.8804055235291555,0.6519512969391621,0.7896321669585163,0.8310200403469428,0.8746971419208831,0.0015071057682118426,421565,5528702,5950267,5.859375000000001e-07
4,0.05667714711236141,0.152277455852262,0.14618433827355187,2.479299216056429,1.6506484592230508,1.7059451566062136,0.5372120108909441,0.6788791274903778,0.7283357372598324,0.7862690803631343,0.6581706315257468,0.7973474195536303,0.8384141807527955,0.8807397899688361,0.6501365301365302,0.7894787264018033,0.8311027434104358,0.8744650221573298,0.00200947435761579,551214,7351003,7902217,7.8125e-07
5,0.06556050182112505,0.1390604959085028,0.13439290450754576,2.531159477718467,1.6790021140394238,1.7339362221628174,0.5325168373816448,0.6738597277165701,0.7230089369101221,0.7797511028769714,0.6533719584932804,0.7938506292973001,0.8353261653746689,0.8785104472389723,0.6455069149472361,0.7860418276728341,0.8280167532064522,0.872083358863723,0.0025118429470197376,682915,9243034,9925949,9.765625e-07
6,0.11643883144819929,0.18510869123798362,0.17993185251856375,2.2322298189393797,1.5815373069022185,1.63058618133632,0.5814573754503294,0.716141531153175,0.761151250970323,0.8118004551395607,0.6736921325561785,0.8056129209392272,0.8447949550777498,0.8851902535158077,0.6667191657659058,0.79884886529216,0.8384714736781387,0.8796419695187555,0.003014211536423685,833638,11085996,11919634,1.1718750000000001e-06
7,0.07551091098025632,0.17273943863627067,0.1652878745389046,2.426494428541531,1.5674691583079452,1.6339804301731098,0.5442172278069957,0.6894903491064738,0.7385515895787903,0.7948299025796477,0.6760243113506625,0.8094667644904269,0.8480388086963742,0.8878585012067002,0.6658487312967646,0.8002045185890928,0.8395863345723977,0.8806766417255448,0.0035165801258276327,981759,12856527,13838286,1.3671875e-06
8,0.09333917616126206,0.14102996211152694,0.13760840290869916,2.2154407240523417,1.726886110096077,1.7630246030816734,0.5821513043599601,0.7184550015000662,0.762431363246283,0.813601066093618,0.6449392980770823,0.7851146407848463,0.8274055793872943,0.8719749794347738,0.6403352642971559,0.7802267121721322,0.822641237222052,0.8676946154196405,0.00401894871523158,1125086,14667837,15792923,1.5625e-06
9,0.11822857524547459,0.17015793414477007,0.16611714662833385,1.9754062344427326,1.5817000516944217,1.6146411931006572,0.6181623905678935,0.7494505627936909,0.7921731000400695,0.8395582646283861,0.6712041371777877,0.8069445484292905,0.846314128677944,0.8872515557356329,0.6667943658900737,0.8021646280217523,0.84181296555957,0.8832864429860823,0.004521317304635527,1289800,16484341,17774141,1.7578125000000002e-06
10,0.0637486378496186,0.12406004481459226,0.12062386544659727,2.433157856392918,1.7123603654148667,1.7565756541533337,0.5457251037515914,0.6868603363039633,0.7354127742596849,0.7895124088556736,0.6469333463578096,0.7886791110582582,0.8311523529264989,0.8750712054842955,0.6408262018013614,0.782535125549051,0.8253752004769043,0.8699083854843497,0.005023685894039475,1410762,18367974,19778736,1.953125e-06
11,0.11517012344131838,0.15816846448277577,0.15439749732705024,1.9606867746047143,1.5623109768014356,1.5983062970838555,0.6228843543728176,0.7544226999060357,0.7960801828242636,0.8425402828207835,0.673465487127948,0.8095695081626597,0.8488305152551595,0.8893106264668422,0.6689109188063316,0.8046038244730551,0.8440806217680445,0.8850991999139277,0.005526054483443422,1583168,20110237,21693405,2.1484375e-06
