iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.03942761455320445,0.12267991642314016,0.11560055948464372,2.9422004818200267,1.683403267229197,1.7830587119809558,0.4608898924544415,0.6131689029774053,0.6709873058607263,0.7378088497112336,0.6974918102323556,0.8146286748838469,0.8423100276887727,0.8715947075983977,0.6788683836949909,0.7987713593659923,0.8288248617437491,0.8610641458874034,0.0005023685894039475,138174,1617262,1755436,1.953125e-07
2,0.06271108381946576,0.1135257436981977,0.10894727172515158,2.633090833980323,1.7489709556498543,1.8259454497052785,0.5193713704792012,0.6580138426615789,0.7089629144790898,0.7698761959140473,0.6879776683288364,0.8061205518412367,0.8343803247794788,0.8642707255327529,0.6732511769710806,0.7931845452947612,0.8234260577535346,0.8560260736877251,0.001004737178807895,281788,3117911,3399699,3.90625e-07
3,0.04011172317480022,0.12899391626655823,0.12096326948509023,2.745039222607102,1.7063160162296735,1.7953387217246772,0.4959406004334795,0.645154829433687,0.6996115852044721,0.7611070179328894,0.6957683023216749,0.813359853248143,0.8409460970685099,0.8700421556889434,0.6786720129839133,0.7989690469283768,0.8288542014734196,0.8607221934588396,0.0015071057682118426,421587,4612134,5033721,5.859375000000001e-07
4,0.04082141669437978,0.10920808465820753,0.10306080557118312,2.726369746797368,1.7454460403831003,1.8290814993962663,0.4967491651177319,0.6448916002745664,0.6984089033541829,0.7594073685590664,0.6870401547444209,0.8081742307554537,0.8367446358849446,0.8673095246623921,0.6708665763361605,0.7942961988424847,0.8249869387856774,0.8581384967246998,0.00200947435761579,551246,6007984,6559230,7.8125e-07
5,0.04063989658237053,0.10991225312258839,0.10437062247861338,2.931209650553146,1.7361858895170141,1.8251798405368491,0.47307157880350187,0.619904176885521,0.6743988276474742,0.7395008390217235,0.6870343255479135,0.8082712842147532,0.8366934940856438,0.8664727861258089,0.6710720178910393,0.7942184934117992,0.8245857910570861,0.8570002713338352,0.0025118429470197376,682947,7641636,8324583,9.765625e-07
6,0.05462707182320442,0.15443998508673817,0.14500645075920474,2.7526814818054897,1.6624680514828674,1.7560240040303503,0.4996882172661298,0.6460403592798483,0.6993751077972218,0.7606304644899368,0.7069797642563227,0.8196409113299267,0.8461384409471542,0.873716296565347,0.6892108127288049,0.8047599389057395,0.8335579445852767,0.8640226226178414,0.003014211536423685,833693,9249484,10083177,1.1718750000000001e-06
7,0.04782638744902896,0.12599746410647716,0.11836195327691507,2.7203900495625213,1.6754074832262214,1.770423507534869,0.4945821321757212,0.6466402468252307,0.7022906947698165,0.7651379615314506,0.6950299795632273,0.8146888036887531,0.8432556961170132,0.872629249919773,0.6767958651252598,0.7994019514879358,0.8304325503471114,0.8628511032392145,0.0035165801258276327,981814,10729659,11711473,1.3671875e-06
8,0.05418647166361974,0.11347020690314256,0.10774539050425906,2.605327105859784,1.6823300540229307,1.7646334534335624,0.5155563306592257,0.6636414370422044,0.7159469829089641,0.7771189396581792,0.6956407811610408,0.8141395087218675,0.8424205840187128,0.8720975696754766,0.6795182303051499,0.8006657590027355,0.8310976904532907,0.863594349167489,0.00401894871523158,1125164,12187489,13312653,1.5625e-06
9,0.047968021319120584,0.1276725529105636,0.11949777002133023,2.454102760037885,1.6760798621548327,1.7545442132908489,0.536581960346272,0.6828551655476367,0.7352755484865777,0.7932020446074086,0.6986424162201034,0.8162769867207104,0.8441390298428497,0.8734427011758806,0.6824482169776125,0.8029445575125951,0.8332606394433609,0.8654245009751496,0.004521317304635527,1289890,13671228,14961118,1.7578125000000002e-06
10,0.05034595775673707,0.10072973576938192,0.09688613301666085,2.646194213586697,1.7637159499522348,1.8301171862144925,0.508356338749938,0.6549187509298596,0.7082555006364373,0.7675516175425255,0.6811369054532442,0.8038988477472899,0.832928392223788,0.8634893055936924,0.668157091293838,0.7927069989934822,0.8235625764124624,0.8562821677451082,0.005023685894039475,1410876,15160745,16571621,1.953125e-06
