iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.11129019878732059,0.20614298381367274,0.19992286926340147,2.3231209759665137,1.707752203432254,1.7492979493918448,0.5586766451463479,0.6992197678121652,0.7477490518514229,0.8028647115022727,0.65869779193177,0.7852714344970873,0.8242753784686735,0.8663795431579356,0.6519405904284579,0.779457979341116,0.8191054336531997,0.8620886253896461,0.0005023685894039475,138164,1906961,2045125,1.953125e-07
2,0.10745140388768898,0.17278456489036786,0.1683993670953286,2.0746156396019892,1.7871533705786167,1.8080529851228841,0.6045946435286417,0.7384228631913204,0.7820225345050904,0.8299048759766577,0.6423110031993249,0.7761253178991336,0.8173317051948499,0.8615960378809672,0.6395694163299251,0.7733847417758387,0.8147650959150131,0.8592924201906202,0.001004737178807895,281766,3738910,4020676,3.90625e-07
3,0.14522821576763487,0.19102843111012838,0.18798712209081744,1.9156210154847324,1.6993939944238547,1.7145893634706864,0.6303979284544239,0.7614932867903204,0.8008784039943061,0.8458715727580312,0.6587696811560084,0.7874091827592746,0.8270238103023209,0.8694689493864863,0.6567612060544773,0.7855745611081206,0.8251729413009804,0.8677984588842532,0.0015071057682118426,421565,5573914,5995479,5.859375000000001e-07
4,0.0993819943210289,0.19000606070904633,0.1843732583136495,2.1610987361187695,1.7058505120131664,1.7362582301250071,0.5868923015218012,0.7244945969502271,0.7689299570378484,0.8181628859459,0.6584199089533556,0.7870612710921732,0.8268202659093421,0.8689558819606009,0.6537036754497048,0.7829358843303887,0.823003219260638,0.8656068026588143,0.00200947435761579,551214,7410555,7961769,7.8125e-07
5,0.131366636785918,0.18425123505048321,0.18099646235603972,2.076027660726285,1.7301406727776292,1.7527532445463432,0.6048549365608462,0.7381568856728499,0.7796448014821452,0.8275411728081032,0.6543566237111778,0.7842311401730127,0.8239332743597124,0.8665355869381134,0.6511535700757157,0.7812498618192109,0.8210675467001937,0.8640124163729864,0.0025118429470197376,682915,9314231,9997146,9.765625e-07
6,0.1803232607167955,0.22065964558239262,0.2177614410285787,1.8340452210449791,1.588952521005117,1.607083515020376,0.6446594083185712,0.7713819390537608,0.8101948607710834,0.8528957093476112,0.6792492503178265,0.8033331068921159,0.8408242244657874,0.8804282542568254,0.6766496684881494,0.8009318332652708,0.8385222903512275,0.8783590599693145,0.003014211536423685,833638,11169017,12002655,1.1718750000000001e-06
7,0.11975964225824483,0.19641622891899363,0.19070616926337314,2.0455046702737976,1.6390984215670787,1.6703455243286864,0.6027707077321919,0.7440065892074723,0.7886457693372311,0.8362352401077497,0.6684188439308292,0.7971286362276024,0.8354770196713107,0.876241891861014,0.6634128888110952,0.7930778497369315,0.8319059337129208,0.873191211144631,0.0035165801258276327,981759,12963356,13945115,1.3671875e-06
8,0.1563330380868025,0.18306244163463137,0.18125571893686293,1.8119231735493848,1.7346374649810907,1.7400311379026288,0.6453913079880274,0.7730783453222352,0.8120451833918243,0.8555401285173065,0.6519775077799221,0.7820645013304476,0.8225623504995558,0.8655603107908111,0.6514972685824406,0.7814092669788965,0.8217954809767374,0.8648296794031072,0.00401894871523158,1125086,14785675,15910761,1.5625e-06
9,0.17483836206896552,0.2007392599427045,0.19884712595963364,1.6093187709074517,1.6145980383615481,1.6150143459427162,0.6764755879888776,0.8012312250324806,0.8388418713649113,0.8776849569556929,0.6717908582178264,0.800821124050179,0.8388669756083964,0.8793706245931682,0.6721777616437216,0.8008549935544557,0.8388649022939719,0.8792314083276132,0.004521317304635527,1289800,16615362,17905162,1.7578125000000002e-06
10,0.12542466256542098,0.15776301169429807,0.1560388656062235,2.008544845178651,1.777701452174294,1.7916455560537736,0.6125394752070898,0.7457631322233429,0.7885038276483524,0.8339230502141168,0.6409045800062938,0.7768216871406889,0.8188717546752797,0.8636326622603258,0.6392097335004255,0.7749659039996918,0.8170572373175475,0.8618574799536265,0.005023685894039475,1410762,18518831,19929593,1.953125e-06
11,0.15856437523737182,0.1909114315139032,0.18818476200063758,1.6715994762182023,1.6270903163656047,1.6310459789385634,0.6697968748187418,0.7938934839854761,0.8307251487767247,0.8717388025938773,0.6702034795277906,0.7981184640852748,0.8366562275904387,0.8773390534997444,0.6701671739527869,0.7977412172691692,0.8361266438892868,0.876839009292736,0.005526054483443422,1583168,20277288,21860456,2.1484375e-06
12,0.10909341037281607,0.183634638929639,0.17821726535637833,2.1400770914603116,1.7226711551974838,1.7542359611981977,0.5868450579271475,0.7302408412483039,0.775799759941551,0.8267208537730926,0.6522404174434312,0.7858339502084388,0.8263128765628911,0.8692890129695878,0.647294728579907,0.7816295812454643,0.8224926948224137,0.8660696886561187,0.00602842307284737,1736464,22150979,23887443,2.3437500000000002e-06
13,0.12922642490896932,0.17985044578659765,0.17633199950849712,1.9188093200651104,1.7145183220468816,1.730058721431049,0.6231173496540713,0.7588012240553486,0.8011508781266631,0.8465207557211283,0.6535614297153705,0.784879997097992,0.8254582979831586,0.8685763972545705,0.6512701789450548,0.7829172835358633,0.8236288981668909,0.8669164684424155,0.006530791662251317,1886784,23997976,25884760,2.5390625000000003e-06
14,0.1755086940436552,0.21727932827843657,0.21451074822495733,1.828724609628163,1.5768389973135566,1.594839896361287,0.6385392576219616,0.7697209089730733,0.8108921225517284,0.8562998437745168,0.6790808228322797,0.804160039916425,0.8417513542883993,0.8814035020954537,0.676165640440002,0.8016836592535035,0.8395323899111912,0.8795983980660631,0.007033160251655265,2033367,25889929,27923296,2.734375e-06
15,0.14428442844284428,0.20358098093664287,0.2001967062395433,1.724224630640377,1.6013741511007435,1.6088110460316998,0.6569473658760668,0.7870296495087965,0.8256973155065561,0.8667504815325225,0.6738217094902325,0.8008148582159464,0.8389078581766019,0.8795545342505229,0.6727773590815707,0.7999616938691736,0.8380902598183152,0.878762093489903,0.007535528841059212,2157450,27770747,29928197,2.9296875e-06
16,0.12691087395442746,0.19119019366136336,0.1865615475358033,1.9701557214977918,1.6416058192827734,1.6669470509582274,0.6146598123565494,0.7503120679704173,0.7938539387675664,0.8416506717850288,0.6658586345138631,0.7954800240195613,0.8348682164179749,0.8762220383794572,0.6620457510133295,0.7921162717472249,0.8318137972741312,0.8736474363139297,0.00803789743046316,2306456,29622571,31929027,3.125e-06
17,0.12693967148588298,0.20533589016048923,0.2000883231588518,2.019014876279158,1.5966413875965026,1.6256542136940209,0.6094614599652184,0.7456055880535234,0.7882777354585567,0.8337237880334019,0.6726296615856582,0.8019237529159876,0.8405713737896654,0.8813552551688876,0.6682710759078788,0.7980378175803056,0.8369631294955111,0.8780686991938451,0.008540266019867107,2445610,31500151,33945761,3.3203125000000002e-06
18,0.16052266588802103,0.21548425248338252,0.21164677501939896,1.8674362442593466,1.5572275557469564,1.5790579107545242,0.6285941872678185,0.7650587546964986,0.8079669535672243,0.853328257942634,0.6807357756352541,0.8070186186593559,0.844906315947239,0.8847872676770052,0.6769810769090981,0.8039971025777819,0.84224632454276,0.8825219146742659,0.009042634609271055,2587471,33328317,35915788,3.5156250000000003e-06
19,0.20391503540191586,0.24359475679627332,0.24122844278311104,1.7244665291028882,1.4404157552302757,1.4582766637536655,0.6627404457249385,0.7834235927617844,0.8195684495150642,0.8592261056459006,0.703942965118644,0.8242947633328174,0.8592220777732055,0.8952682411198631,0.7012988746448042,0.8216719365165995,0.856677384335198,0.892955308113196,0.009545003198675003,2717282,35221334,37938616,3.7109375e-06
20,0.16493127863390253,0.21175013758943312,0.2083152283349407,1.715717732006918,1.5389460886326471,1.5523368301951517,0.6546618841796347,0.7849129647488153,0.824486426108494,0.8677924474631774,0.6822019718874208,0.8095787371120654,0.8474273807502692,0.8872576287674366,0.6801930782910405,0.8077795085592712,0.845753967892485,0.8858377539112119,0.01004737178807895,2861419,37053183,39914602,3.90625e-06
21,0.15606311693926075,0.21221358702934476,0.20831259333001492,1.7533340513108424,1.5384445344697257,1.554984913477596,0.6509807153453107,0.782847941575484,0.8213918930912503,0.8622624285225241,0.682902436803351,0.8112080492952234,0.8489979652034344,0.8880989696079888,0.6804287347383118,0.8090103464826331,0.8468586946856681,0.8860968249203786,0.010549740377482898,3019161,38931012,41950173,4.101562500000001e-06
22,0.15909261061615632,0.20293984108967084,0.19998205160690907,1.7764929557031544,1.4922955647386078,1.5122877827217982,0.646684534939108,0.7776537583801961,0.8174094796635836,0.8601938020318642,0.6884835500233815,0.816724102904267,0.8540966709732736,0.8926780394505104,0.6855672813272542,0.8139982103813753,0.8515370482800217,0.8904116519648108,0.011052108966886845,3159820,40806425,43966245,4.296875e-06
23,0.20313282311708747,0.21275178282807802,0.21217435138410717,1.512049738033393,1.4989825417909006,1.500050487525752,0.6937774598957801,0.8122381730867477,0.8472718912843568,0.8843746806988863,0.6870417650980702,0.8127375221858051,0.8498900209286319,0.888743543681445,0.6875660119933696,0.8126986572694581,0.8496862488785727,0.8884035100363081,0.011554477556290793,3316412,42661778,45978190,4.4921875e-06
24,0.187660485021398,0.2281029975035558,0.2251670439359642,1.5719146368991026,1.4201826340009471,1.431907129288643,0.6757737007915707,0.8043245175125089,0.8420895878008101,0.8819990469382892,0.7013525804458797,0.8254608708721651,0.8618238341052734,0.8991537945523245,0.6993815846243762,0.823832196562863,0.8603031999910241,0.8978319252475242,0.01205684614569474,3467504,44471504,47939008,4.6875000000000004e-06
25,0.24619583195501157,0.2616712891508941,0.26082922806484515,1.3137170039719943,1.3163830944157022,1.3161896532194974,0.730284966353199,0.8395196972499253,0.8699867689112094,0.9023958229594958,0.7218337594780222,0.8397725002490456,0.8737488520767137,0.9081585160257439,0.7224345175519103,0.8397545296272081,0.8734814225995163,0.9077488722390019,0.012559214735098688,3608082,46308517,49916599,4.8828125e-06
26,0.16566379769974865,0.19946158457849106,0.19721572749308222,1.714020256761977,1.4642332429406824,1.4819524053869264,0.6542748070253943,0.785308759369057,0.8255118022150129,0.8685255621434165,0.6871376070566252,0.8182142294390002,0.856651424211894,0.895550720554819,0.6848198448535942,0.8158934577844668,0.8544551950770529,0.8936446781409849,0.013061583324502635,3751106,48193384,51944490,5.078125000000001e-06
27,0.23876736624297962,0.23949035867662072,0.23959713053521664,1.3076849697623705,1.34189618507166,1.3393838289017082,0.7251505207203298,0.8411328379257974,0.8737999023649382,0.9070432848774137,0.7138883017456265,0.8361572972116792,0.8707568237609761,0.9062304879980408,0.7147199409606215,0.8365247074691923,0.8709815346733684,0.9062905075874513,0.013563951913906584,3898594,50043207,53941801,5.2734375e-06
28,0.20113578572639432,0.23983804513010704,0.23764076228189582,1.4752836302271757,1.3242624773602205,1.333174998025657,0.6937885590619852,0.8182031073355083,0.8548402726186246,0.8928825220452857,0.7158258291108253,0.8391577570065666,0.874197227854003,0.9092361676796792,0.7144660831749707,0.8378648110262192,0.8730028629824245,0.9082271133304567,0.01406632050331053,4022430,51926369,55948799,5.46875e-06
29,0.20561988347223248,0.22842126541338184,0.22695850128443432,1.5212118569151123,1.3089070808700558,1.3243589944920493,0.6808524258999765,0.8109355772582102,0.8486417663084069,0.8873580060745304,0.7166158927970564,0.8411714331733128,0.8759691199898789,0.9109975085277243,0.7141290649340886,0.8390689700880996,0.8740689008430095,0.9093537256826082,0.014568689092714478,4163017,53807586,57970603,5.6640625000000005e-06
30,0.23444306160547604,0.25308536821762345,0.2519456528867805,1.306888350230131,1.2513844773645242,1.2556299602787995,0.718440653443274,0.8405589553175312,0.8741169436098829,0.9090405781481837,0.7307660060634787,0.8481536796730372,0.8809533657672804,0.9137787635153868,0.729898432819496,0.8476190921566151,0.8804721546302777,0.9134452458484863,0.015071057682118425,4298484,55596658,59895142,5.859375e-06
31,0.29028382640036043,0.27212259233157243,0.2736133272033967,1.1263528744118743,1.200050234664092,1.1946288109114358,0.7542361980841485,0.8637240632298683,0.8932809802660528,0.9240632298683276,0.7402498645570216,0.8558069451803678,0.8878965123636031,0.9194621682458876,0.7412852643838994,0.8563930446496766,0.8882951212715926,0.9198027820599431,0.015573426271522374,4446199,57444299,61890498,6.054687500000001e-06
32,0.27484173838822107,0.25829181050853417,0.2596838339208692,1.2491798927445221,1.19391415177703,1.198180479929087,0.7355499569051249,0.8477226016044553,0.8778757541603129,0.9092554531591859,0.7393490710252751,0.857090230234772,0.8895407389817428,0.9213037661481314,0.7390678238129875,0.8563967476610194,0.8886771838584567,0.9204118333622915,0.01607579486092632,4597029,59330895,63927924,6.25e-06
33,0.2502137970353478,0.27145104683528987,0.2699771721354937,1.275066535499694,1.1594549290729719,1.168214073251752,0.7226013227287356,0.8422971082549044,0.8758710372321211,0.9094778045592765,0.7458585678660492,0.8610328834333696,0.8926761982926951,0.9236487217760301,0.7440202254598878,0.8595519354612635,0.8913478535107733,0.9225285977931614,0.01657816345033027,4749290,61104919,65854209,6.4453125e-06
34,0.2285311363467676,0.24971516057822402,0.2483119625222689,1.2643869532988685,1.1982419835203797,1.2037600030547795,0.7204013504798755,0.8406041753600647,0.877388313543998,0.9153484313948637,0.7364419151677323,0.8557892667146059,0.8884428553843274,0.9206837067927864,0.7351431816890428,0.8545597971228008,0.8875478180923748,0.9202517331738927,0.017080532039734215,4907456,62900250,67807706,6.6406250000000005e-06
35,0.3288554123311073,0.2695612539460135,0.2737429580977282,1.1008246932854944,1.1545279215044226,1.1508639574628712,0.7589653727477048,0.8645918250733305,0.8949068606910213,0.9248638147118206,0.7445859160648918,0.861728845720815,0.8937206076193799,0.9252506772836081,0.7455376277394715,0.8619183334694812,0.8937991203839571,0.9252250725869808,0.017582900629138164,5038711,64752133,69790844,6.8359375e-06
36,0.33284895454912405,0.27594013836268905,0.2798999630484494,0.9188363770586282,1.113051109626641,1.0998290113269875,0.7918703863483846,0.8935495527385088,0.9190062166766222,0.9432682167798647,0.7530102275818785,0.8677266862580841,0.8986906432575266,0.9283923814346629,0.7556557746586353,0.8694846721001196,0.9000737000328337,0.9294051081954637,0.01808526921854211,5174314,66608388,71782702,7.031250000000001e-06
