iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.11129019878732059,0.20614298381367274,0.19992286926340147,2.3231209759665137,1.707752203432254,1.7492979493918448,0.5586766451463479,0.6992197678121652,0.7477490518514229,0.8028647115022727,0.65869779193177,0.7852714344970873,0.8242753784686735,0.8663795431579356,0.6519405904284579,0.779457979341116,0.8191054336531997,0.8620886253896461,0.0005023685894039475,138164,1906961,2045125,1.953125e-07
2,0.10738255033557047,0.17261362082326662,0.16823566266851442,2.0749279040333697,1.7872261819498663,1.807891720778151,0.6044553697023718,0.7384716090305149,0.7820921714182254,0.8299257670505982,0.642253687193257,0.7761427856343163,0.817342622529339,0.8616069552154563,0.6395061428431865,0.7734044831037012,0.8147802815518304,0.8593040625121802,0.001004737178807895,281766,3738910,4020676,3.90625e-07
3,0.14549725920125295,0.1907562878536645,0.18775335457718237,1.9153972986439476,1.6995470222323092,1.7148955846798395,0.6305338378672236,0.7613931430124679,0.8007424945815063,0.8458286539960944,0.658749517712223,0.7874413352777433,0.8270074615641165,0.8694989220731943,0.6567520912212509,0.7855973481911867,0.8251481286994197,0.8678232714858141,0.0015071057682118426,421565,5573914,5995479,5.859375000000001e-07
4,0.09897268854923578,0.18995457583343717,0.18429977972983733,2.160864073081452,1.7062395586817865,1.7362138850322189,0.5871005561169003,0.7244791706839235,0.7687679812416601,0.8180240495491674,0.6584874235084592,0.7870433035089601,0.8268202659093421,0.868847531989104,0.6537804698187958,0.7829180843110629,0.8229925392490426,0.8654964425389947,0.00200947435761579,551214,7410555,7961769,7.8125e-07
5,0.1314867617107943,0.18423416430092265,0.1809922077922078,2.076233159948955,1.7306369494549618,1.7528475759650435,0.6050979111775917,0.7380429913212504,0.7799409267963038,0.8277537755977555,0.6543849898827322,0.7842285136756465,0.8239259201670872,0.8665355869381134,0.6511958226903419,0.781240035629763,0.8210798294370035,0.8640261730382136,0.0025118429470197376,682915,9314231,9997146,9.765625e-07
6,0.18133914143188365,0.22088070217681693,0.21804208192556368,1.834098719691918,1.5899047398106154,1.6075354303757803,0.6448650836302356,0.7715677103030062,0.810141783271299,0.852723207473312,0.6790988286519307,0.8032516958829752,0.8407358045618201,0.8802945461093625,0.6765260091079123,0.8008705022016854,0.8384365265875147,0.8782224362992138,0.003014211536423685,833638,11169017,12002655,1.1718750000000001e-06
7,0.11988815099615519,0.19626388944891504,0.19057737163306387,2.0452237818869388,1.6398822212525062,1.6714185837481839,0.6027166978348782,0.7437162860094112,0.7886525205743953,0.8361812302104361,0.6681641540422406,0.7969987833960026,0.8353622141635444,0.8761493786848528,0.6631735016422474,0.7929357618689703,0.8318003974341814,0.8731016340104816,0.0035165801258276327,981759,12963356,13945115,1.3671875e-06
8,0.15624769355672005,0.1829555414253553,0.1811522892053343,1.8112384889535824,1.7357890089581605,1.7415333913284745,0.64553782608999,0.7733225421588396,0.812024252234401,0.855581990832153,0.651671304530107,0.7818142707176954,0.8223373624486163,0.865475254332529,0.6512240759526384,0.7811950880270405,0.8215853719337053,0.8647538773512626,0.00401894871523158,1125086,14785675,15910761,1.5625e-06
9,0.17546458389442499,0.20045563275999545,0.1986338079974778,1.6084418662329094,1.6166432289289783,1.6163781247790685,0.6766698641281251,0.8012858651966439,0.8390179341161043,0.8777092414730988,0.6715859051302218,0.8006276483354803,0.8387429106726998,0.8792230583700928,0.6720057801816185,0.8006820092849933,0.838765624365411,0.8790980349488393,0.004521317304635527,1289800,16615362,17905162,1.7578125000000002e-06
10,0.12586064445056458,0.15759045953111764,0.1559002695277811,2.0069696474926015,1.7796777657168301,1.7933517916577528,0.6127874869793819,0.7461186157636283,0.7884046229394355,0.8339395843322697,0.6406277170786601,0.7764728503590025,0.8185470842971438,0.8634740045674503,0.6389642324188871,0.7746591511392584,0.8167460387634846,0.8617092901659775,0.005023685894039475,1410762,18518831,19929593,1.953125e-06
