iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.05457317073170732,0.042670850728827786,0.04349852256607484,2.5962338574990595,2.3783575895813147,2.392880454020072,0.5143090819605686,0.6640297038302307,0.7155120002316088,0.775361164992328,0.5394264936075472,0.6944967135904352,0.7456160274392085,0.8013484459897466,0.537699411005024,0.6924017906243546,0.7435460632889659,0.7995615508459182,0.0005023685894039475,138164,1871191,2009355,1.953125e-07
2,0.06530050466432176,0.03679988224037683,0.038789988659440354,2.2744417132508614,2.4475900819602217,2.434238548701164,0.569316583334494,0.7120931463350093,0.7590214620966281,0.8118758791660283,0.5257428259536734,0.6851544469865766,0.7383309767381067,0.7962112816388832,0.5289530482927888,0.6871391097660392,0.7398553129968454,0.7973653441741703,0.001004737178807895,281766,3676762,3958528,3.90625e-07
3,0.06561455337013139,0.04017031375423167,0.04196993328134477,2.1875289058979335,2.3653767859186536,2.3521596171578207,0.5795034299243914,0.7245759983976996,0.7707708924956544,0.821050222104593,0.5401455273264368,0.6971740623819818,0.7491015206070325,0.8054348057525094,0.5430045814949589,0.6991646059379126,0.7506756367041296,0.8065691477338566,0.0015071057682118426,421565,5461444,5883009,5.859375000000001e-07
4,0.05416390179163902,0.04008044254667132,0.04100376888400916,2.3456716698788664,2.389208737908431,2.386476229664756,0.5554072919960817,0.7013320580953188,0.7496934029572152,0.8017801911314395,0.5350879612518136,0.6931810032382097,0.7457834316197117,0.8028117811257054,0.5364442263842433,0.6937250660144081,0.7460444125477057,0.8027429250419202,0.00200947435761579,551214,7274174,7825388,7.8125e-07
5,0.06350488809889311,0.037680317446398034,0.03934650190543691,2.361268226655453,2.412919634999496,2.408673148260121,0.5535341417301312,0.7013386382791322,0.7484377491438942,0.8010797184531628,0.5326986984214899,0.6907978825383976,0.7436630594550838,0.8007764735956373,0.5340642901611957,0.6914887422794924,0.7439760010470677,0.8007963487989824,0.0025118429470197376,682915,9151894,9834809,9.765625e-07
6,0.08174614208258028,0.045586399876901336,0.048358193221946975,2.112818851213064,2.2449650776465115,2.2348612325202275,0.5936417795586928,0.7359520745153715,0.7810381201321533,0.829023312590391,0.5585604988912983,0.7151759700256223,0.7648573372558042,0.8184361567835304,0.5612185962296625,0.7167501687719384,0.7660833499633803,0.8192383421694596,0.003014211536423685,833649,10990531,11824180,1.1718750000000001e-06
7,0.059142024156601414,0.041329198870736335,0.04272828317373461,2.2953042824785137,2.318661214646607,2.317525377502698,0.5576049311036247,0.7095685284328354,0.7597369718000824,0.8132067701406283,0.5462166802577839,0.7048817916877415,0.7567115460268634,0.8116534941787582,0.5471082880923851,0.705248725228037,0.7569484123691069,0.811775103110248,0.0035165801258276327,981770,12734317,13716087,1.3671875e-06
8,0.07853479853479854,0.03405882992916817,0.03730807863395035,2.0710001893615657,2.436523409138128,2.409602992700779,0.5970682425502523,0.7402443363776539,0.7844858261178982,0.8326065570339155,0.5276775561359103,0.6857829984875531,0.7388632966875848,0.7967076911391161,0.5328205613498376,0.6898194904031072,0.7422446857306562,0.7993683948158111,0.00401894871523158,1125097,14524793,15649890,1.5625e-06
9,0.07716461785141636,0.03677680790928387,0.039965243063007416,1.8747474315328392,2.31737872119688,2.280702025676041,0.6239603190985588,0.7669293441966074,0.8099129400050997,0.8561263766285805,0.5434852611329154,0.7040780971141819,0.7564531728203979,0.8124159862608165,0.5502386152722945,0.7093524857307201,0.7609394415989948,0.8160841009933345,0.004521317304635527,1289811,16322862,17612673,1.7578125000000002e-06
10,0.06187260448987041,0.031597823740708554,0.033351261311596964,2.2740086052334623,2.4291464370162297,2.4191640645485006,0.56582232436633,0.7121327359005307,0.7584696020237761,0.8088821282716886,0.5266330433176278,0.6874687868851754,0.7412761693439688,0.7989499505423161,0.5290233768329333,0.6889731539563122,0.7423248754513,0.7995557594949475,0.005023685894039475,1410773,18185060,19595833,1.953125e-06
