iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.1484393063583815,0.2642658999786615,0.25656912706684615,2.0562834012025593,1.5444938932367394,1.578729119552595,0.6022987174661996,0.7381662372253264,0.7826278914912712,0.8315986798297675,0.6944111599555524,0.8094308168861345,0.8438174666393282,0.8805549772648733,0.6881882525518,0.8046163437442699,0.8396836379194426,0.8772476010023837,0.0005023685894039475,138164,1906961,2045125,1.953125e-07
2,0.13870868087735558,0.241210809579406,0.23432283677704593,1.8760746798225292,1.603159911801926,1.6230605489936736,0.637811451093996,0.7673430732162505,0.8075514268603501,0.8503363462904416,0.683863469998346,0.8022881641355737,0.838032063119661,0.8764621722547953,0.6805159674440194,0.7997480196664121,0.8358164380469044,0.8745630965740697,0.001004737178807895,281766,3738910,4020676,3.90625e-07
3,0.1927919420837268,0.25357760838048915,0.24954260324098276,1.618047789259044,1.534182416015,1.5399575695018695,0.6808918518730463,0.802080129328536,0.8369802359101282,0.8750777902560104,0.6956954862223733,0.811131746851778,0.845817229826202,0.8828629256393992,0.6946475167396444,0.8104909704917402,0.8451916469642795,0.882311805278805,0.0015071057682118426,421565,5573914,5995479,5.859375000000001e-07
4,0.11007025761124122,0.24358710797414285,0.23521356548717537,2.0749242305185516,1.575442098255048,1.6079788626359806,0.6000431935456502,0.7361414280094717,0.7799828768444029,0.8272335305324375,0.6878077969510644,0.8058896648827942,0.8414219218671477,0.8795257211398417,0.6820209633370459,0.8012907556871062,0.8373708862883908,0.8760777911701733,0.00200947435761579,551214,7410555,7961769,7.8125e-07
5,0.17069980379332897,0.282875544185629,0.2758544606364983,1.8592540762313874,1.4871798945049282,1.5109856145507694,0.6385600716775119,0.768650200074411,0.8072300134395335,0.8502213346899417,0.7070945896255455,0.8177898970202913,0.8509179082995215,0.8866041280133804,0.7026599986145073,0.8146102663044733,0.8480910416104731,0.8842499448505117,0.0025118429470197376,682915,9314231,9997146,9.765625e-07
6,0.20736515983664272,0.2873441865619841,0.2814150801009077,1.6921804286153248,1.4021135595081777,1.4242768956970537,0.6694399660304001,0.7912594627230084,0.8272725463267053,0.8673925014762179,0.7184370595853107,0.8295533824387288,0.8619555032224742,0.8959222249898371,0.7147547081563832,0.8266754225485899,0.8593489233905208,0.8937780882558991,0.003014211536423685,833638,11169017,12002655,1.1718750000000001e-06
7,0.1603085553997195,0.2655027988976297,0.2577292266268081,1.8374391294216383,1.5357272488077431,1.5589432383742774,0.6399632732698267,0.772949142930442,0.8131190040574935,0.8565092053118734,0.6959760669527888,0.8117702396258455,0.846292701657825,0.8830332506845139,0.6917048484910886,0.8088099626247129,0.8437630633320634,0.8810106771825418,0.0035165801258276327,981759,12963356,13945115,1.3671875e-06
8,0.1706631142687981,0.254971935416811,0.24903649783714535,1.7174747188138857,1.5504855384042944,1.5625226786130362,0.6604408101753333,0.7859300759801015,0.8235712740795523,0.8657196480774731,0.6930548383680355,0.8080385486843961,0.843162475944113,0.8807272491808514,0.6906767546140048,0.8064264877806075,0.8417339643048647,0.8796329552727195,0.00401894871523158,1125086,14785675,15910761,1.5625e-06
9,0.19002022926500337,0.26540770858542123,0.2596635411212828,1.49061314469702,1.446287341214304,1.4497471374237179,0.69590320191362,0.8188739269278871,0.8538739876391807,0.8904039729470477,0.7105581446444118,0.8255226167098526,0.8584708750731682,0.8932893986785718,0.7093478192199061,0.8249735133506251,0.858091226388274,0.8930510965447771,0.004521317304635527,1289800,16615362,17905162,1.7578125000000002e-06
10,0.15391705069124423,0.22915708451320813,0.22503805294459178,1.8507142545282835,1.5829281907056936,1.598949504978188,0.6383244324663944,0.7678692481936475,0.8072039152791786,0.8494568542186802,0.6839722632730031,0.806638826269301,0.842980368999968,0.8811075988103825,0.6812447546989747,0.8043223009329535,0.8408426861671254,0.8792164316788272,0.005023685894039475,1410762,18518831,19929593,1.953125e-06
