iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.1484393063583815,0.2642658999786615,0.25656912706684615,2.0562834012025593,1.5444938932367394,1.578729119552595,0.6022987174661996,0.7381662372253264,0.7826278914912712,0.8315986798297675,0.6944111599555524,0.8094308168861345,0.8438174666393282,0.8805549772648733,0.6881882525518,0.8046163437442699,0.8396836379194426,0.8772476010023837,0.0005023685894039475,138164,1906961,2045125,1.953125e-07
2,0.13788042638652867,0.24134612098914493,0.23439307892362402,1.8764264686424967,1.6031445315805064,1.623157021287985,0.6379576886115792,0.7672873636857426,0.8073912619601399,0.8504268742775171,0.683961726008748,0.8022248435955368,0.8379747471135932,0.8764545301206529,0.6806177112106951,0.7996852523675674,0.835751645996484,0.8745625903861758,0.001004737178807895,281766,3738910,4020676,3.90625e-07
3,0.1922895357985838,0.25369592031192456,0.24961748514862267,1.6182920503834977,1.5342211346380243,1.5398560285190468,0.6809276175079936,0.8019799855506835,0.837008848418086,0.874963340224179,0.6957848593245574,0.8112047712157575,0.8458145050365012,0.8828727348823218,0.6947330948960478,0.8105517360465829,0.8451911405846558,0.8823128180380524,0.0015071057682118426,421565,5573914,5995479,5.859375000000001e-07
4,0.10976323935413704,0.24350745757291975,0.2351216902915218,2.0751394450111458,1.5756638218049954,1.6087193434399305,0.6001897430755347,0.7362802644062044,0.7800522950427693,0.8273723669291703,0.6877391934515237,0.8058030938000404,0.8414420673392351,0.8794418724181808,0.6819665461351072,0.8012190470378225,0.8373942805995046,0.8760086253807933,0.00200947435761579,551214,7410555,7961769,7.8125e-07
5,0.17170644001307617,0.2831178301966174,0.27614445173998686,1.8584900201260803,1.487093380144029,1.5108927148385773,0.6388030462942574,0.7685666775499047,0.8072603852666267,0.8501909628628485,0.7070767294434557,0.8178109089992205,0.8509047758126909,0.8865951979223355,0.7026590159955625,0.8146245142791728,0.8480807241115528,0.8842396273515913,0.0025118429470197376,682915,9314231,9997146,9.765625e-07
6,0.2071951562940017,0.28748585494464474,0.28153215069238935,1.6921013825341016,1.4027501090001078,1.4245745056180257,0.6695991985297532,0.791060422098817,0.8272061994519748,0.8675517339755711,0.7183912321960593,0.8294579536399347,0.8618816402539161,0.8958753193090739,0.7147242919378571,0.8265722068562146,0.8592756252901383,0.8937466747843066,0.003014211536423685,833638,11169017,12002655,1.1718750000000001e-06
7,0.16071804221302854,0.2655478266848493,0.2578010293595391,1.836777152157274,1.536271546343981,1.5594779421133498,0.6403143376023657,0.7730706651993978,0.813260780037942,0.8567319961382923,0.6959052887999425,0.8116437306439864,0.846249231611195,0.8830098437363285,0.6916662376574035,0.8087023671015104,0.8437337190984627,0.8810060438824995,0.0035165801258276327,981759,12963356,13945115,1.3671875e-06
8,0.17016868896123113,0.2547235182704301,0.24876720552291925,1.7167538611989552,1.552711494105347,1.5640653270763147,0.6604198790179101,0.7861184563969106,0.8237387233389383,0.8659219825992311,0.6929302718130032,0.8078854470594885,0.8430439456538619,0.880616401409413,0.6905597447353186,0.8062982856526557,0.8416362864930919,0.8795449434944034,0.00401894871523158,1125086,14785675,15910761,1.5625e-06
9,0.19093851132686085,0.26525100067667534,0.2595904682327308,1.4894596656932626,1.4477989897913561,1.4509103939603925,0.6965770972716344,0.8191592700074067,0.8539529123207499,0.8905618223101861,0.7103460865164369,0.8253324202445554,0.8583107383940531,0.8931740784079463,0.7092089304006567,0.8248225908430652,0.8579508333579857,0.8929583368640509,0.004521317304635527,1289800,16615362,17905162,1.7578125000000002e-06
10,0.1554203539823009,0.22877852527513937,0.22476788282986793,1.850005927416773,1.5852783539553317,1.6007093320295915,0.6386220465931449,0.7679519187844116,0.8074271258742415,0.8496883318728196,0.6836659803758296,0.8063814015358275,0.8427539403058311,0.8808953547444166,0.6809745553194947,0.8040851972727151,0.8406431239197582,0.8790307004783072,0.005023685894039475,1410762,18518831,19929593,1.953125e-06
